,Words,Frequency
0,help,1
1,possible.,1
2,random,1
3,lot,1
4,"(2006),",1
5,suggest,1
6,confirmed,1
7,districts,2
8,poor,2
9,gauge,1
10,collateral,1
11,mani\xc3\xa9res,1
12,MaxEnt\xe2\x80\x99s,1
13,203\xe2\x80\x932294.\xe2\x80\xa2Added,1
14,used.\xe2\x80\xa2Weak,1
15,tensions,1
16,(EDCs),1
17,greater,1
18,Valley.,1
19,"Valley,",1
20,present,7
21,responses,1
22,critically,1
23,"types,",1
24,'Ekwal',1
25,Aslam',1
26,attribution:,1
27,Notwithstanding,1
28,estimating,1
29,restoration,1
30,addresses,1
31,landscapes,2
32,LULC,2
33,significant,2
34,authors,1
35,measures,2
36,'Md,1
37,errors,1
38,exoticism.,1
39,affected,1
40,itself,1
41,model,14
42,substances.,1
43,declaration,2
44,district-level,4
45,Opinion,1
46,mealybug,1
47,resistance.,1
48,accounted,1
49,wildlife,8
50,2016,1
51,whole,1
52,fauna,1
53,understanding,4
54,(peak,1
55,inflows,1
56,dwindling,1
57,"Zimbabwe,",1
58,middle,1
59,even,1
60,globally,1
61,resources,2
62,few,2
63,destination,1
64,legislative,1
65,planning.AbstractSpatially,1
66,large,5
67,Plots,4
68,(MODIS,1
69,before,2
70,'Review,1
71,against,5
72,MaxEnt.,1
73,'AbstractWestern,1
74,"""AbstractWhat",1
75,important,4
76,disturbances,2
77,forces,2
78,make,1
79,Tree,3
80,own,1
81,au,1
82,settlement.,1
83,become,1
84,detrimental,1
85,Mimosa,2
86,state,3
87,Himalaya.,1
88,Modelling,2
89,indigenous,1
90,reductions,1
91,history,2
92,decline,1
93,infestations,1
94,smaller,1
95,Remotely,1
96,propres,1
97,comprehensive,2
98,management.This,1
99,(Tinsley),1
100,because,4
101,On,1
102,(TCP),1
103,localities,1
104,https://www.sciencedirect.com/science/article/pii/S2213305418300018,1
105,fund,1
106,played,1
107,'Manabendra,1
108,all,7
109,Moderate,1
110,utile,1
111,eradication,1
112,stakeholders.,1
113,colonised,1
114,city,6
115,able,1
116,trees,2
117,(\xc2\xb10.05).,1
118,treated,1
119,"Assam,",2
120,largest,2
121,begun,1
122,layers,1
123,contemporary,1
124,occidentaux,1
125,hospitals,2
126,developing,2
127,Bank-hosted,1
128,experiences,1
129,Abstract,1
130,out,4
131,"(GEF,",1
132,sustained,1
133,than,3
134,Earth.,1
135,action,1
136,Srisailam,1
137,but,2
138,'ReviewChanging,1
