Words,Frequency
corridors,1
"processes,",1
(FVCOM),1
serious,1
river,8
four,1
These,1
Ganges-Brahmaputra-Meghna,1
valley.,1
"Inland,",1
influential,1
time.,1
volume,1
delta:,1
rich,1
Different,1
ecosystem,2
Kondapalli,1
article,1
tide,2
focus,2
must,1
"friction,",1
improvements,1
organized,1
guide,1
Ghats',1
region.,1
changes,1
intervention,1
developing,1
able,1
essential,1
understanding,1
investigate,1
hills,1
constituents,1
problems,1
time,1
status,1
means,1
connects,1
research,1
FVCOM,1
If,1
"""AbstractThe",1
increasing,1
ArticleConservation,1
Ghats,1
India',1
developmental,1
sensitivity,1
connectivity,2
urban,3
M.',1
while,1
complex,1
"strong,",1
brings,1
Papikondalu,1
results,1
10\xc2\xa0cm,1
corridor,2
protection,1
protection.,1
discharge,1
organize,1
area.,2
city,2
sites,1
achieve,1
side,2
damage,1
recommended,1
ease,1
salinity,1
ability,1
pressure.,1
modelling,2
https://www.sciencedirect.com/science/article/pii/S0272771416303791,1
found,2
tactics.',1
provide,1
no,1
validating,1
break,1
so,1
"roughness,",1
open,2
interventions,1
"species,",1
highlights,1
"activities,",1
leading,1
paper,2
functions,1
evaluated,1
Valley.,1
will,1
context,1
diverse,2
scientific,1
India,2
significantly,1
effect,1
"Unfortunately,",1
An,1
macro,2
damages.,1
ocean,1
tidal,9
ancient,1
examines,1
responses,1
performance,1
order,2
Tidal,1
several,2
fulfill,1
heat,1
change,1
considerations,1
simulated,1
number,1
Bay,1
herpetofauna,1
particularly,1
Krishna-Guntur,1
small,1
intrusion,1
important,1
Rahman',1
"Valley,",1
exists,1
level,4
discussed,1
hydrodynamics,2
planning,1
system,2
Sothern,1
"landscape,",1
Nallamala,1
establish,1
biodiversity,1
what,1
timescales,1
3D,1
observations,1
"inland,",1
approach,1
finite,1
Ghats.,2
"channels.""",1
GBM,2
control,1
quality,1
irrecoverable,1
"delta,",1
hillocks,1
consideration,1
When,1
whole,1
Earth.,1
hill,1
widely,1
simulate,1
intricate,1
direct,1
patch,1
Planet,1
continuity,1
capture,3
channel,1
integrity.',1
"time,",1
analysis,1
rural,1
elaborate,1
implementing,1
environmentalists.,1
enhance,1
unstructured,1
establishes,1
resources,1
covering,1
tides,1
Vijayawada,4
'AbstractThe,1
green,1
endangered,2
'Srikonda',1
250\xc2\xa0km,1
island,1
emphasize,1
"initiated,",1
range,2
https://www.sciencedirect.com/science/article/pii/S2287884X18300542,1
Article/ResearchEcological,1
improve,1
flora,1
'Original,1
configured,1
flow.,1
'Tidal,1
consensus,1
thirteen,1
"avian,",1
bottom,2
northern,2
So,1
approach',1
unique,1
scattered,1
Barak,3
Bengal,1
generic,1
eco-patches,1
anthropogenic,1
https://www.sciencedirect.com/science/article/pii/S2212609015000102,1
daily,1
lung,1
crucial,1
bathymetry,2
seen,1
narrow,1
action,1
varieties,1
configuration,1
estuarine,1
affected,1
observed,1
derived,2
average.,1
future,1
"However,",1
'Review,1
beyond,1
compares,1
shelf,1
competition.The,1
"topographic,",1
combination,1
"geometry,",1
activities,1
environmental,4
regard,1
large,2
reduced,1
penetration,3
distinguishing,1
community,1
mammals,1
support,1
"Assam,",1
endemic,1
create,1
architectural,1
edge,1
development,1
seasonal,1
well,1
cycle.FVCOM,1
channels.,1
indicated,1
dynamics,1
model,7
discuss,1
water,5
errors,1
awareness,1
"bathymetry,",1
spaces,1
settlement.,1
provides,1
climatic,1
hydrodynamic,2
'Lucy,1
integrity,3
inclusion,1
subsequent,1
penetration.This,1
sustained,1
distribution,1
twice,1
because,1
models,1
discharge.,1
stations,1
new,1
ecological,7
model's,1
root-mean-squared,1
making,1
Scattered,1
"stations,",1
annual,1
first,1
mega,1
micro,2
before,1
\xe2\x80\x93,2
challenge,2
baroclinic,2
Northeast,2
conservation,4
applied,1
definition.,1
Once,1
part,3
population,1
region,5
deep,1
gauge,1
controls,2
many,1
'Nazimur,1
system.,3
vanish,1
"mammalian,",1
levels,3
Human,1
coast,2
delta,5
features.,1
demands,1
accurate,1
level;,1
remaining,1
fauna,1
jeopardy,1
limit,1
flow,1
natural,1
yet,1
problem,1
'AbstractFrom,1
controlled,1
eco,1
freshwater,1
grid,1
(GBM),1
globally,1
education,1
favourably,1
validated,2
strengthen,1
data-poor,2
demand,1
vary,1
concept,1
especially,1
explicit,1
Eastern,4
ecologists,1
coastal,1
design,1
processes,1
assess,1
Valley,1
same,1
life,1
