Words,Frequency
map,1
cemetery,1
overviews,1
"expression,",1
\xe2\x80\x98form\xe2\x80\x99,1
effciently,1
programmed,1
EngineeringGSO,1
(active,1
Source,1
paths,1
proposes,2
show,1
infeasible,1
"Drosophila,",1
"environment,",1
sufficient,2
energy,2
temperature,2
network,7
product-driven,3
allows,1
behaviors,4
constraints,1
simplified.,1
EC-STCRA,1
(WL),1
trained,1
dynamic,5
elements.,1
Being,1
quality,1
curation.,1
time,3
"technology,",1
procedure,1
"this,",2
decision,1
supplied,1
selecting,1
sake,1
protocols,1
Cluster,1
military,1
Structural,1
multi-disciplinary,1
fixed,1
monitor,1
Parametric,1
competitive,1
random,2
'AbstractBibliographic,1
coefficient,1
supports,1
protect,1
Power,2
limitation,1
variational,1
procedures,2
developments,1
Endothelial,1
'AbstractSix,1
contradicting,1
"30,",1
'Rolf,1
'TrendsThe,1
"perspective,",1
'HOLONIC,1
falling,1
https://www.sciencedirect.com/science/article/pii/S1474667016397579,1
presents,4
come,1
ENABLED,1
"dynamic,",1
"holonic,",1
Dynamic,2
described,1
https://www.sciencedirect.com/science/article/pii/S0960077913000210,1
state,6
controlling,1
highlighting,1
hand.,1
illustrate,1
enough,1
host,1
problems.,3
location,1
behavior,8
"interacting,",1
intrinsic,1
simultaneously,5
strong,1
promising,2
patterns.',1
functions.,2
246,1
(IFAC).Classical,1
FOR,1
proposed,10
(RDN),1
(IHTP).,1
viability,1
sensory,5
Fuzzy,1
BS,1
speed,3
colony,3
preliminary,1
solves,1
network.,1
first.,1
'OpinionThe,1
outputs.An,1
second,2
Lunch,1
prototypic,1
select,1
phenomenon',1
machine,1
analysis,2
species.,1
(fractal,1
RFMPC,1
"BEECLUST,",1
3),1
blood,3
reviews,1
"Modeling,",1
route,4
"Finally,",2
three,2
loss,4
paradigms,1
simple,5
Problems,1
'Damien',1
effectiveness,2
capture,1
processes,1
development.',1
https://www.sciencedirect.com/science/article/pii/S2212827116001943,1
self-organization,2
Brick,1
autonomous,2
match,1
(FASSO)',1
NR',1
research,5
technology,3
review,1
problems:,1
Free,1
complexity,1
Trends',1
(D-MAS);,1
"collective,",1
uncertainties,1
"tolerance,",1
mounting,1
LDR\xe2\x80\x99s,1
role,1
suffers,1
nodes,4
controlled,1
transitions,1
Standard,1
understanding,1
Loss,1
cell.',1
MULTI-AGENT,1
holonic,3
allocation,1
interaction.,1
(CH),1
mobile,2
sensor,1
"system,",2
work,4
insight,2
Federation,1
algorithm.,2
error,1
Dead,1
"distinctive,",1
favorable,1
Self-organized,1
problem,3
"integration,",1
Systems.',1
accuracy,1
Theorem,1
adaptation,1
industrial,2
architectural,4
'Ideality,1
"elegans,",1
hard,1
domain,1
describe,1
swarm,15
addresses,1
'AbstractSwarm,1
flights,1
functions,3
"However,",2
inspiration,1
area,1
(RBF),1
reveal,1
convenient,1
small-noisy,1
"gyro,",1
Architecture',1
control.,4
ABC,4
tested,2
aggregation.',1
social,10
environments.,1
"paper,",3
bat-inspired,1
seven,1
Partially,1
test.,1
model,4
endothelium.The,1
considered,3
links,1
'Fayemi',1
Frequently,1
approaches,4
robot,3
Learning,2
process.In,1
"spills,",1
best,2
agents,4
network',1
CASs,1
"transfer,",1
"networks),",1
scheme,3
set,6
system,11
trajectories,1
Logistics,1
"14,",1
Solves,1
interaction,1
ability,2
evolving,1
real-world,1
proposals,1
phase,1
"circuitry,",1
policies,1
capabilities,2
approaches.',1
ecology,1
adding,1
objective,1
discussed:,1
Ideas,1
volatility,1
implementing,1
should,1
Supervised,2
Life,1
Optimization,10
"requirements,",1
Logistics',1
bibliography.,1
Future,1
ENVIRONMENT,1
multi-robot,1
Behavior:,1
avoid,1
augmented,1
logistics,3
'Electrical,1
coupled,2
Manufacturing,1
"rigid,",1
contrast,1
"(PALM),",1
obtain,2
wide,1
improve,2
evolutionary,2
architecture,2
satisfactorily,1
SIMULINK,1
synthesis,1
adoption,1
mitigate,1
Lagrangian,1
data.,1
metaphor,2
causation,1
'The,1
"e.g.,",1
"instabilities,",1
Life:,1
decentralization,1
generate,3
alternative,1
reliable,1
residual,1
security,2
tolerance,1
balance,1
Ant,4
representative,1
determines,2
embryogenesis).,1
'Rigid,1
"distribution,",1
organizing,2
previous,1
present,3
given.,1
practice,1
increased,1
solved,1
distributed,5
gathering,1
cascaded,1
position,1
discussing,1
hybrid,1
'Artificial,1
impact,1
steps,2
despite,1
"intelligence,",1
Butterfly,2
MACSim,3
low-level,1
fundamentals,1
delegate,1
calculate,1
group,1
short-term,1
handling,2
(MDO),1
layer,1
spatial,1
agricultural,2
outperforms,2
similar,2
'S.V.',1
increase,1
"policies,",1
presented,1
delivery,1
AHHS,1
(RE),1
fault,1
sizing,1
"NFLT,",1
class,1
surrogate,1
hops,1
platforms,1
offer,1
conditions,1
hierarchical,1
experimental,2
real,3
Role,2
BflyBot,1
https://www.sciencedirect.com/science/article/pii/S1571066105051947,1
Enhanced-Ant-DSR,1
powerful,1
"field,",1
Simulation,2
3D,1
118,1
vanishingly,1
Collaborative,1
manufacturing,7
endothelial,4
"(DoS),",1
"Meanwhile,",1
"Hence,",1
Robotic,2
protocol,1
properties,3
share,1
limited,1
differential,1
differs,1
Survey,1
assess,1
changes,2
foraging,1
"nineties,",1
existing,3
argue,1
movement,1
methods,3
growing,1
schemes.,1
packet.,1
future,1
limitations.,1
retrieval,1
steady,2
falls,1
Bibliographic,1
"""AbstractThe",1
(RFMPC).,1
C.,1
help,2
chemotaxis,2
Search,1
feature,3
evolution,1
MANET.,1
learn,1
groups.,1
challenges,2
https://www.sciencedirect.com/science/article/pii/S1877050915020566,1
robots.,2
demonstrate,4
difference,1
superior,1
genetic,4
Automatic,1
"57,",1
means,2
order,8
18,1
enterprise,1
environments,3
magnitudes.The,1
kind,1
easily,1
G.',1
considerable,1
"coordination,",1
Art,1
desired,1
(FAQS),1
MANUFACTURING,1
"procedure,",1
main,2
preserved,1
provides,4
external,1
scalability,1
RBF,1
Interactions,1
'Adaptation,1
collection,1
Simple,1
SSO,4
(GSO),1
https://www.sciencedirect.com/science/article/pii/S2405896318302507,1
enterprises.,1
discussed,2
contributions,1
"parallel,",1
CAS,1
Structures,1
towards,1
possibilities.,1
analyze,1
modular,2
Evolution,1
selection,2
Do,1
parameters.,2
"controllers),",1
Finding,1
features.,1
resource,1
phenomenal,1
2),1
understand,1
soldiers,1
level.,1
PROSA-based,1
insects,1
enjoys,1
profile,1
activity,1
"congestion,",1
separate,1
distribution.,1
shared,1
bibliographic,4
observed,1
heterogeneous,1
overview,2
conserve,1
inherent,1
(WSNs).,1
State,1
tasks,1
swallows.,1
defects.,1
decentralized,1
(NR),1
COLONY,1
data,3
short-range,1
industry,1
harder,1
(DL),1
'L\xc3\xa1szl\xc3\xb3',1
modern,1
outcome,1
'Chakravarthi',1
oil,1
allowing,1
complexities,1
"approach,",2
controllers.',1
years,1
research.,1
matched,1
"convergence,",1
coefficients.,1
Asked,1
https://www.sciencedirect.com/science/article/pii/S0896627310001789,1
Boeing,1
Integrating,1
common,2
gene,1
described.,1
'Application,2
Here,1
\xe2\x80\x93,1
planning,1
versatile,1
contingencies.,1
"termites,",1
constituting,1
"clustering,",1
years.,1
additive,1
evaluation,1
entry,1
filtering,1
according,2
(natural,1
each,5
account.,1
interest,2
individual,2
web,8
combining,2
what,1
'A,2
"studies,",1
take,2
Distance,1
supporting,1
ant-colony,1
wealth,1
principles,2
DN,1
multiagent,3
"(PDR),",1
theory,1
stop,1
Although,1
69,1
world,1
Problem,1
MULTI,1
compare,1
neurobiological,1
bus,2
define,1
searches,2
'Wei',1
reconfigurable,1
bacterial,2
phenomena,1
numbers,1
ALife-methods,1
articles,1
test,2
defects,1
'Peter',1
specifically,1
"cells,",1
past,1
Swarm,7
"potentials,",1
standard,2
form,1
centralized,3
SYSTEM,1
Routing,1
costly,1
way,3
shedding,3
"decennium,",1
faster,1
end,2
"dominance,",1
https://www.sciencedirect.com/science/article/pii/S1877050918310056,1
application,3
emerge.',1
BCC,2
intelligence,3
technically,1
Colony,6
signals,2
mutual,1
neural,3
drinking,1
essential,2
obtained,2
identification,3
'AbstractConserving,1
Its,1
exist,1
"units,",1
accurately,1
Distribution,2
(GTBKTT),1
robotics,3
Distributed,1
