Words,Frequency
ill-attuned,1
PALSAR,1
tropics),1
https://www.sciencedirect.com/science/article/pii/S0016703705002681,1
Oceania.,1
Indians,1
1:0.4.,1
socioecology,1
points\xe2\x80\x99,1
disruptions,1
(R2=0.153).,1
"surplus,",1
"PO43\xe2\x88\x92-P,",1
arid,2
temporally,2
second,5
delineated,2
des,1
"illegal,",1
Himalaya:,1
https://www.sciencedirect.com/science/article/pii/S0006320715300355,1
"Agroecosystem,",1
tourism,16
botanic,4
developments,4
assured),1
growth.,2
average,7
decisions,2
(Hemiptera:,3
"'ReviewEthnopharmacology,",1
articleAssessment,1
human-environment,1
visualisation,1
observed.,2
signifikanten,1
'Biodiversity,2
Extraction,1
encourages,2
(GHG),1
structures.\xe2\x80\xa2Transferrable,1
Options,1
"these,",1
vast,1
"globe,",1
https://www.sciencedirect.com/science/article/pii/S1389934104000231,1
disturbance.,2
match,1
modest.,1
animals,1
lion-tailed,2
'H.C.,1
"0.75),",1
einheimischer,1
fruit.,1
Smaller-scale,1
biodiverse,1
3\xc2\xa0MW,1
resolutions,1
"""AbstractForest-agricultural",1
festgestellt.,1
produces,1
diversity',1
INDIA\xe2\x98\x86',1
"islands,",2
"states,",2
"have,",1
trace,1
8.3\xc2\xa0TgCO2,1
socio-technical,1
decade:,1
'Managing,1
terranes,2
Once,1
"knowledge,",4
Wildreservaten,1
ways,6
acid,1
human-landform,1
Serratia.,1
wellness,3
Gondwana.AbstractThe,1
decrease,13
biodiversity-based,2
1764.85by,1
intensification,4
Nepal,1
interrelated,1
compost,1
biomonitoring,1
surfaces,3
(1988),1
ago.,1
(TC),1
(L.),2
services.\xe2\x80\xa2Comprehensive,1
2005',1
Araripe,1
'Coastal,1
indofischeri:,1
nur,1
identify,12
forest.,6
comparatively,1
satisfying,1
Phenacoccus,4
Gondwanan,1
multilayered,1
arguments:,1
flow.,1
'Javier,1
bioterrorism,1
Dominant,1
advocated,2
aufgegebene,1
Cl\xe2\x88\x92.,1
mortality.,2
Plots,4
contours,1
cut,3
globalbiodiversity,1
Travancore,1
DF).,1
"90%,",1
"electricity,",1
prominently,1
characterizes,2
distributed,4
"(Gujarat),",1
https://www.sciencedirect.com/science/article/pii/S0006320703002301,1
stronger,1
extinction,6
"time,",5
representation,1
isolated,2
poverty,3
semi-natural,2
"demand,",1
huge,1
Rural,3
necessitating,1
lives,1
number,20
poorly,5
participants,1
(494KB)Download,1
"31.67%,",1
flora,4
relevant,3
"settlement,",1
cultural,12
'AbstractProtected,1
Irrigated,1
(Tinsley),1
Haryana.,1
evident,1
bringing,2
pronounced,1
threaten,1
regionParticipatory,1
relationships,3
avoided,2
(367\xc2\xa0ha\xe2\x88\x921),1
"13.5%,",1
"(>\xc2\xa080%),",1
assuming,1
capita,1
mass,3
satellite,4
offer,5
expressions,1
check,4
prominent,3
inter-tropical,1
sequester,2
Northern,2
fruiting,1
probabilistic,2
Dehaasia,1
Microbial,1
"61%,",1
hillslope/channel,1
territorial,1
Anopheles,1
archives,1
certain,2
redefine,1
strategies,28
recent,11
separate,1
1\xc2\xa0km2.,1
Comparison,2
change.\xe2\x80\xa2Climate,1
damselflies,2
formation,1
unchanged,1
Yoga,2
coordinates).Graphical,1
"crisis,",1
illegal\xe2\x80\x94is,1
attitude,1
agriculture,16
development.',1
caused.',1
circumstances,2
sociospatial,3
accuracy.,2
differentials,1
'AbstractHuman-modified,1
pioneer,1
ungulates,1
mosquito,1
felled,1
Poit.,1
economical/medicinal,1
"Bangalore,",2
"power,",1
"total,",1
transplanted,1
riverfront:,1
foresters.,1
mountains.\xe2\x80\xa2The,1
Kedarnath,2
warming.,1
enable,3
family.,1
hypothesis\xe2\x80\x9d',1
hydrologic,12
"56%,",1
alternatives,2
addressed,2
response,15
combined,5
definitions,1
'T.V.',3
recently,2
province,1
"techniques,",3
"contrast,",2
week,1
Natural,1
hydroelectric,8
Multipurpose,1
'Hana',1
scores,1
governance.,3
Puram,2
positively,6
"households,",1
identity,1
contributed,2
cases,9
Bandarban,1
sustainable,29
(NTFPs),2
drought.,1
records',1
~\xc2\xa040%,1
relevanceIt,1
produced,1
Modelling,1
root,3
mediating,1
redrawing,2
deciding,1
PNG,1
DF,4
model.,3
vertebrates,2
nation's,1
obtained,8
adopted,4
winter,5
perspectives:,1
integration,3
drought,2
amongst,1
10\xc2\xa0m,1
players,1
goods,1
throughout,4
"Region,",1
demonstrating,1
forefront,1
lean,2
Algorithms,1
promote,4
influence,22
explicitly,7
groundwork,1
tree-plantations,2
get,1
extinction.,1
resistance,2
Examples,1
Paleozoic.\xe2\x80\xa2The,1
(ii),7
"concerns,",2
depending,1
fully,1
space.,1
expanded,2
needs.',1
tend,3
Satellite,3
value-added,1
groupings,1
Remnant,1
maintain,1
Wir,1
effects\xe2\x80\x99,1
paddies,1
"flavourings,",1
preparation,1
use/land,1
https://www.sciencedirect.com/science/article/pii/S0743016717308896,1
periphery,1
carried,9
interest,7
M\xc3\xb6glichkeit,1
nature\xe2\x80\x99,1
Archaeological,1
Temporal,1
ca.,7
critiques,1
towns,2
Change,2
review,12
practicing,1
"monitoring,",1
scenario,3
Trans,1
calling,1
nuanced.,1
produce,2
time.\xe2\x80\xa2Various,1
necessitates,3
processes:,1
depends,4
popular,2
understood.,3
(IAS),1
7-year,1
transportation,1
fill,1
chance.Our,1
understand,9
frontline,1
actors,4
approach\xe2\x80\x99,1
mitigate,4
"tiger,",1
harnessed.,1
sustain,5
conducting,1
'Laia',1
"Soligas,",1
Sri,2
defines,1
pertaining,1
central,8
enjoyed,1
island's,1
sphere,1
base,2
interactions,3
instruments,1
microbial,3
Vector-borne,1
understory,3
approximately,2
dating,1
regions',1
beprobt,1
delayed,1
mini,1
https://www.sciencedirect.com/science/article/pii/S0264837711001335,1
coppiced,1
Urbanisation,1
"temperature,",2
grid,1
official,1
discuss,3
importance.,1
"ends,",1
Arabian,3
"conversion,",1
wherein,1
inoculation,1
"relations,",1
above,6
Sarsa,1
canoeing,1
years.\xe2\x80\xa2Small-scale,1
warming,1
functional,1
harnessed,1
"teak,",1
emission,2
decided,2
Cl\xe2\x88\x92,1
'RETRACTED:,2
district.,2
"migration,",1
33.46,1
(Cerrado),1
148,1
paddy,2
Betel,1
individual,8
burned,5
Analysis,4
routes,1
role,33
interactions;,1
HLZs,1
next,8
catalogue,2
technical,5
settlements),1
del,1
extended,1
modified,2
genomics,1
composed,2
https://www.sciencedirect.com/science/article/pii/S0921800911004095,1
used.\xe2\x80\xa2Weak,1
ecological),2
(1975-2005).,1
areas.Highlights\xe2\x96\xba,1
latitude,2
value.,3
emphasis,6
significant,32
'CHAPTER,1
face,4
nature\xe2\x80\x93society,1
retention,1
'Highlights\xe2\x80\xa2Assessed,1
land-covers,1
security.',1
North-West,1
migration,1
61.69,1
rapid,13
categories:,1
Oxford,1
(3.8%),1
safety,1
ecological,42
core,1
proportions,1
analyze,5
adjusted,2
mortality.\xe2\x80\xa2Harvesting,1
process;,1
principle,2
\xe2\x80\x98omics\xe2\x80\x99,1
urbanising,1
farms.,1
"clothes,",1
information.\xe2\x80\xa2The,1
periods.,3
balance,4
Amla,3
show,19
alteration,2
'Marie-H\xc3\xa9l\xc3\xa8ne',1
"industrialisation,",2
suitable,8
centuries,2
resources',1
"step,",1
Hills.',1
low-latitude,1
summarizing,1
conclusions,1
interests,2
"accompli,",1
Determining,1
(BR),2
monetary,1
hardships.,1
conversations,1
socio-technological,1
generators,1
2123\xe2\x80\x932139.,1
"traits,",1
previously,2
products.,6
'Chrystal,1
(PNG),1
(Normalized,1
combines,1
return,1
commodification,1
55,1
'L.G.',1
build,1
Three,3
'ArticlesA,1
peninsular,1
Royal,1
conductivity,2
forests.AbstractForest,1
2014,1
low-flow,1
retreat,1
people.,1
"beneficiaries,",1
'V.',1
sensing,5
speed,2
geospatial,10
solution,6
full-size,8
"observations,",1
"viz.,",7
https://www.sciencedirect.com/science/article/pii/S0973082608602732,1
four,11
"over,",1
'Cristina',1
consolidated;,1
trade-off,4
survey',1
pillar,1
critically,3
contents,1
intentional,1
Papua,3
growth),1
maximization,2
stock,3
biofuels,7
bimodal,1
exploited,6
aesthetic,1
wounded,1
regenerated,4
unharvested,1
ensures,2
pioneering,1
recovery.,1
"basins),",1
>\xc2\xa095%.,1
reservoirs,4
"50,000)",1
defined,8
alten,1
adjudged,1
behaviors,1
\xe2\x80\x9cKerala,1
"management,",5
supply,6
"threats,",1
City.,1
hazards,1
colonial,8
auf,2
democratic,1
needs,15
Sukzession,3
entire,3
labour.,1
patches?,1
underpinned,1
early,10
https://www.sciencedirect.com/science/article/pii/S0006320709001621,1
fungal,1
"(DI),",1
Chicago.,1
Nepal',1
pressure,9
international,8
underrepresented,1
whole,1
Local,2
5%,2
concomitant,1
"converse,",1
here,1
bauxite,3
deemed,1
compares,1
QD/P,1
"theory,",1
Nature,1
enforcing,1
Chepauk,1
elevation,2
"(N,",1
cognizance,1
"0.71,",1
quick,1
lags,3
landscapes.AbstractThe,1
correlated,5
3.75,2
judgement,1
Inappropriate,1
By,1
Yilgarn,1
confluences,1
'L.E.',1
"geographical,",1
fire-return,6
adaptation.\xe2\x80\xa2Prevalent,1
endemism,2
Nilgiris,2
https://www.sciencedirect.com/science/article/pii/S0305750X05000951,1
"department,",1
non-monetizable,1
experiences,7
station,1
interactions.,1
jungen,1
decline.,1
assets.,1
IDF,1
women,4
richness,19
"1998,",1
Resilience,1
mistletoes:,1
"huddling,",1
Labour,1
groves,14
Lichens,1
understory.,2
interpretation,5
mammals,6
subpopulations.,1
(AUC:,1
tree,26
amount,5
86%,1
(gbh\xe2\x89\xa510.1\xc2\xa0cm).,1
topics,1
heterogeneous,3
nature-culture,1
23.81,1
Preservation,2
blocking,1
transformed,1
Cambrian,2
Pantoea,1
induce,1
"part,",1
pace,1
Shannon's,1
existed,1
matter,2
monthly,1
"sediment,",1
Each,3
hebt,1
32.7\xc2\xa0\xc2\xb1\xc2\xa06.97stdev%,1
"present,",3
aversion,1
"Kanha,",1
socio-cultural,1
regeneration.,2
community-based,6
flock,1
Hydrological,1
on-farm,2
vegetation/forest,1
totally,3
detailed,3
plays,2
Yamuna,2
techno-institutional,1
BA,13
Conflicts,1
Attappady,1
cultivation,4
warming).,1
infestations,4
nutrient,5
purposeful,1
conditions,6
studied,9
https://www.sciencedirect.com/science/article/pii/S0959652698000766,1
imageHighlights\xe2\x96\xba,3
Reserve,6
(JFMC),1
occupancy,2
accuracy,11
"global,",1
abandonment,1
"tissues,",1
already,3
latex.,2
capability.',1
breast,1
"Uttarakhand,",1
Mineral,1
estimation,2
time.\xe2\x80\xa2Impact,1
estimations.,1
rhizobacteria\xe2\x80\x94Prospects,1
103\xe2\x80\x93144\xc2\xa0mm,1
constructivist,1
decade.,3
complement,3
contribution,6
work,7
5,1
rooted,1
confluence,1
hunting,1
level.,4
(BD),1
23.5\xc2\xa0m,1
"hotspots,",2
cookers,2
'AbstractWildlife,1
swiftly,1
considering,3
transformative,1
"recognition,",1
Movement,1
opportunities.,1
"habitat""",1
"al.,",1
(Apocynaceae)',1
importance,15
"monsoon,",2
"stakeholders,",2
improves,1
channels,1
alter,3
Environ.,1
urbanisation,2
Focussing,1
"Maikhuri,",1
plans,6
restoration.,1
policy.,2
Panchayat,2
villagers,2
method,4
learning,1
'Harsimran',1
scientifically-based,1
"1975,",1
agro-ecosystems.,2
Adopting,1
Dipterocarpaceae,1
544,1
overall,9
empirically-derived,1
next.,1
'Panchanathan',1
achieve,4
respective,2
"Past,",1
made,10
emerges,2
Plot,1
"Pseudomonas,",1
Sensing,1
governmental,3
trajectories,2
awareness,3
concentrated,1
continuation,1
groups.,2
promoting,6
sustainability.,2
artisans,1
ranges,5
Results,7
"27.22%,",1
Degrading,1
governance.AbstractThe,1
climates.,1
Drawing,1
Throughout,1
density,17
operate,2
what,1
'Cumulative,3
(US$,1
"TM-30m),",1
choices,1
threshold,2
parts.,1
'AbstractAbandoned,1
perspectives',1
Organic,1
score,1
neutral,1
tree-covered,2
forests',1
ein,1
practical,2
Anisoptera,1
determines,1
Colorado,1
'AbstractMountain,1
Gondwana,1
necessitated,1
east,2
conflicts.AbstractThis,1
'Himanshu',1
side,1
'H.A.',1
roles,3
"turn,",1
access.,2
seedlings,2
capture).,1
trees,18
head,1
"catalogue,",1
options.,1
(1956),1
\xe2\x80\x98salt,1
growing,10
collectors.,1
"Guilmoto,",1
Editors.,1
idea,3
'AbstractDuring,1
coinciding,1
major,39
tissues,1
improving,4
sub-continent;,1
"walking,",1
stormflow,3
landforms,7
"herpetofauna,",1
domains.,3
Right,3
remained,2
cooperation,1
laboratory,1
K.S.,2
justice,2
argued,2
"(GEF,",1
tracks,1
developing,11
Red,4
months.,2
'Hydroelectric,1
weeds.,2
"seeds,",1
non-forest,1
stand,4
reconstruction,1
"extracted,",1
distribution,31
"countries,",1
biologically,2
trends,8
"bank,",3
"regression,",1
deciduous,16
https://www.sciencedirect.com/science/article/pii/S0925857416304694,1
action.Graphical,1
antiquity,1
evaluate,2
appreciation,2
ranking,3
Decision-making,1
Pakistan,1
'A.M.T.A.',1
Butzer,1
accumulation,1
"Elouard,",1
"""Highlights\xe2\x80\xa2We",1
"Integrated,",1
(Phyllanthus,1
asiatischen,1
encouragement,1
'AbstractSustainable,1
2001),1
Phayre\xe2\x80\x99s,1
meat,1
lessen,1
agencies,4
siting,1
"success,",3
Formation,1
man-made,1
Rhinoceros,1
temperate,4
onwards,1
unburned,1
incommensurability,1
presenting,1
identifying,1
generalised,1
masks,1
implementing,1
peer-reviewed,9
ornamental,1
technique',1
calculating,1
agreed,1
grasslands.',1
Planning,2
"maintenance,",1
Hospitals,1
change.',3
Bangladesh,3
Biosphere,1
Exploring,1
relative,11
'David',1
bridging,1
mistletoe,6
P.S.,1
(vwm,1
urgently,2
rare,1
tons,1
Ranthambore,2
disaggregated,2
2050,2
https://www.sciencedirect.com/science/article/pii/S0305750X00001194,1
valuation,10
safe,3
always,2
Cyanobacteria,1
den,4
commons:,1
digital,1
according,3
SBFs.,2
stratify,3
western,6
"units,",3
kreisrunden,1
state,21
'Sustaining,1
cascading,1
Production).,1
OptionsDisaggregated,1
injustices.Highlights\xe2\x96\xba,1
fragile,1
2517\xc2\xa0Ma,1
Tourism,4
minimal,2
species-rich,1
'Short,1
'AbstractUnderstanding,2
'Sharachchandra',2
indole,1
mid-1990s.,1
takes,2
(n\xc2\xa0=\xc2\xa0148),1
eine,2
inventory,5
approach.AbstractThis,1
42%,1
"167(10),",1
fragments;,1
"malaria,",1
example,4
latter,1
Industrial,2
energy.,2
"type,",1
`India,1
multifarious,1
"shape,",1
orchid,5
starting,2
mediated,1
"Simultaneously,",1
include,10
investigations,1
foraging,1
monitoring.',1
Treaty,1
whom,1
Paenibacillus,1
"""AbstractIndustrialization",1
"holistic,",1
22,3
Holdridge\xe2\x80\x99s,1
encroachment,1
"swards,",1
listed.,1
peri-Gondwana,1
scenarios,6
knowledge.\xe2\x80\xa2Role,1
human-modified,4
"conclusion,",1
hope,2
hospitals,2
764,1
Wayanad,2
"Mumbai,",1
time,13
"supply,",1
"context-specificity,",1
similarly,1
medium,2
vulnerability;,1
maps.,2
canopy,4
1902.,1
time-scales,1
IAS.,1
income,5
"degradation,",2
10\xc2\xa0years,1
derived,4
"1997,",1
https://www.sciencedirect.com/science/article/pii/S0169534718300594,1
production,18
Mudumalai,1
PGPRs,3
Mg\xc2\xa0ha\xe2\x88\x92\xc2\xa01,1
caste/class-based,1
"regions.""",1
assisted,2
reviews,3
U.M.,1
dynamics.AbstractEconomic,1
receive,3
Wet,1
thus,8
objectives,3
Flow,1
99.8\xc2\xb14.8\xc2\xa0MgC\xc2\xa0ha\xe2\x88\x921.,1
landscapes.,4
"generation,",2
modifies,1
"reported,",1
south,10
evidence,14
10\xe2\x80\x9336%,1
residency.,1
shows,5
Research.,1
(Eucalyptus,2
"P,",2
biofertlizers,1
'Patrick',1
debate:,1
growers/farmers\xe2\x80\x99,1
hills,1
"constraints,",1
"geography,",1
"age,",1
Pseudococcidae),3
Flora,1
integrating,2
split,1
presence/absence.,1
wastes,3
Fire,1
table,2
greatest,1
observed,8
r2\xc2\xa0=\xc2\xa00.95,1
Construction,1
(b),4
overexploitation.,2
multi-tiered,2
theorists.,1
analyzes,1
fire,16
hand,2
altered,5
"ATREE,",1
underlying,6
(litter,1
Ghats\xe2\x80\x93Rayner,1
'Highlights\xe2\x80\xa2Institutional,1
conflicts.\xe2\x80\xa2Conflicts,1
recognizes,1
history,8
decreased,6
eutrophication).,1
port,1
markers.,1
best,6
War,1
(semiarid,1
general,2
grandis,1
MSS,1
space',1
personal,1
hurricanes.,1
varies,2
Waldrand,1
Insights,1
images.,1
uses.\xe2\x80\xa2Inconsistent,1
indicator,3
approaches.,2
calculations,1
"connectivity,",3
"addition,",3
Ministry,1
articleEcological,1
"(4.8%),",1
"ranges,",1
Abstracts,5
'Mark,2
structural,3
beyond,2
critical.Declining,1
hat.,1
50%,1
option,2
seedlings),2
coherent,1
Nutzung,1
exist,4
novel,8
plantation,6
carbon,9
manual,1
everyday,2
pollinator,1
failed,1
practices.,5
wieder,1
journal,1
makers,1
Um,1
details,2
order.\xe2\x80\xa2The,1
accessibility,1
go,1
metabolites.,1
farmer.,1
