Words,Frequency
climates,6
investigation,2
crisis;,1
extraction,14
temperatures,2
"swards,",1
Computations,1
assessments,11
mostly,6
km.,3
118,1
certification,1
marginalisation,1
relevant,3
Evidence,2
main,1
year.,3
35,1
surroundings,4
"wealth,",2
basins.,3
hemisphere.,1
(L.),2
type,16
onwards,1
"(\xe2\x80\x9ctribals\xe2\x80\x9d,",1
criticisms,1
"loss,",1
Article,2
modelling,7
warmest,3
'Nidhi',1
(based,1
economic,33
"R.,",1
once-continuous,1
"Africa,",4
numbers.,1
reinforcing,3
"P,",2
Cambodia.',1
real-world,1
"rivers,",4
necessitated,1
fostered,1
action.Here,1
variability,1
elephant,2
knowledge.\xe2\x80\xa2Despite,1
auf,2
deforestation/degradation,1
activity,12
planting,1
factors,19
studied.,2
Wallace\xe2\x80\x99s,1
morphology;,1
https://www.sciencedirect.com/science/article/pii/S0143622817308159,1
IDF,1
"blackgram,",1
Comprehensive,1
aspects,7
"changes,",4
united,1
deforested,1
SPAs,1
assets).,1
"underestimated,",1
households,6
going,2
ages,3
basins),1
attention,10
primary,3
conversion.,1
biosafety,1
perfumes.,1
worst,1
(1):,1
scholarly,2
prevailing,2
history,8
predictors.,1
seamless,1
und,11
Decision-making,1
context,13
constrained,3
dengue,3
"Knowledge,",1
routine,1
extent.,1
2007,4
industrialization,1
"errors,",1
induce,1
regime\xe2\x80\x99s,1
"tissues,",1
'AbstractUrban,1
because,6
model,38
Hills,1
inequalities,1
DC,1
resource\xe2\x80\x99,1
"rural,",1
deleterious,1
profiles,2
decades,6
406,1
Delhi\xe2\x80\x99s,1
considered,14
therefore,3
chances,1
ethnopharmacologists,1
surface,4
collections.,1
revitalization\xe2\x80\x99,1
length,2
adjudged,1
helps,3
Degrading,1
89.36%,1
geomorphology,4
"1:250,000",1
elevation,2
'Agency,1
"experts,",1
savanna,3
managing,12
collecting,1
forest;,2
MSS,1
dramatically,1
rice,7
supplemental,1
(dLUC),1
economists,1
considerably,2
Object-Based,1
'Javier,1
'AbstractHuman-modified,1
1,1
synergies,1
Sample,1
"""Sustainable",1
define,2
"year,",1
resource',1
interaction\xe2\x80\x9d,1
keeping,2
vulnerable,6
(IRBM).,1
Pest,1
SIVI,1
Timber,1
"chemical,",1
lie,1
tracer.The,1
B.',1
"fieldwork,",1
permanent,1
required,10
manual,1
estimate,5
https://www.sciencedirect.com/science/article/pii/S2211464515000391,1
Study\xe2\x98\x86',1
"9.61%,",1
evident,1
(CMIP5).,1
Australia.,1
"investors,",1
PAs,6
coupled,3
tourist,1
publications,1
Bandipur.,1
centrally,1
underlying,6
east,2
highlights\xe2\x96\xba,1
\xe2\x80\x98closeness\xe2\x80\x99,1
"9.8/11,",1
(Tinsley),1
(25\xe2\x80\x9330\xc2\xa0km2),1
factorial,1
zur,2
Bio_CAP.,1
diversified,1
fertility,2
site,10
Unique,1
insight,1
redefined,2
recover,4
patch,6
operationalizing,1
fungal,1
relationship,3
"pressures,",3
https://www.sciencedirect.com/science/article/pii/S001670371000222X,1
million,13
create,3
forward.,1
\xe2\x88\xbc1.6,1
Coastal,12
Migration,1
"constraints,",1
"""anthropocene""",1
"""AbstractBy",1
"India.\xe2\x80\xa215,565",1
rights.,3
"arrangements,",1
sites,24
gathered,1
occurring,3
Km,1
claim,1
Health,1
"flows,",1
Post-livelihood,1
links,1
https://www.sciencedirect.com/science/article/pii/S136403211200250X,1
complex,9
Remnant,1
"alteration,",1
metropolitan,1
investigate,2
126,1
whereas,8
catechu),1
hull,1
Zimbabwe,1
evaluated.,1
nature-culture,1
erhalten,1
formed,1
brown,1
(https://www.elsevier.com/about/our-business/policies/article-withdrawal).This,1
mentioned.,1
low-latitude,1
Enhancing,1
Complex,3
table,2
"al.,",1
covered,1
BA,13
Resilience,1
Decentralised,1
malaria,12
Furey\xe2\x80\x93Gupta,1
leaf,3
(US$,1
fauna.',1
suspected,2
proposal,1
Please,1
decentralization.,1
Paleozoic,1
park,7
Fire,1
peri-Gondwana,1
identifying,1
waren,1
"rates,",2
31.09,1
Ecology,4
"pp.,",1
"storage,",1
distinct,3
leakages.,1
Are,2
authors,2
classes.\xe2\x80\xa2Hierarchical,1
2000.,1
'AbstractIncreasing,1
'Hana',1
transformations,1
geomorphological,2
grasslands.,2
8.54%,1
"savanna,",2
hydrograph.,1
"resting,",1
trees.,5
"census,",1
frequency,6
perspectives:,1
(Eucalyptus,2
'George,1
Board).,1
developments,4
tourism.,1
outcome,1
connected,3
filter,1
undergoes,1
"""AbstractWe",1
Suavalle,1
"surveys,",2
normative,2
niche-based,1
"(ATREE),",2
2050.,1
hydroclimate,2
medicinal,2
Clear,1
River.,1
"Fortunately,",1
agro-ecological,2
forests.AbstractForest,1
top,2
eco-epidemiological,2
response,15
giant,2
https://www.sciencedirect.com/science/article/pii/S2212017316303206,1
"porosity,",1
describe,3
1764.85,1
Vedanta,1
malaria.,1
occur,4
"range,",1
association,2
averaged,1
"dispersal,",1
interdependent,1
wind,3
planning,16
fauna.,1
nonspatial,1
streams,12
hyperspace,1
Himalaya,4
(494KB)Download,1
Committees,1
followed,5
ATREE's,3
undertook,1
balance,4
quantifiable,1
"1995,",1
"globally,",1
(SIVI),1
converting,1
Ecodevelopment'.,1
Nethravathi,2
pepper,1
synthetic,1
Abh\xc3\xa4ngigkeit,1
ecology,7
protocol,1
extensively,1
'Golden,1
reserves,3
closer,1
biodiversity,78
outlay,1
aversion,1
"Nicobar,",1
bear,1
basins:,1
local-level,1
groundwater.,1
methodologies,1
Abandonment,1
household,4
"PO43\xe2\x88\x92-P,",1
biodiversity.,6
3,1
small.,1
conversations,1
clarification,1
phenomena,1
next.,1
"[2],",1
characteristics,7
https://www.sciencedirect.com/science/article/pii/S0165783615000168,1
Health.,1
way,7
consumed,2
market:,1
PAs).,1
'Human,2
draw,2
Spatial,1
recovery,12
respectively,5
https://www.sciencedirect.com/science/article/pii/S1342937X14002871,1
nutrition.,1
pests,1
challenge.,1
his,1
hotspots:,1
human-use.\xe2\x80\xa2Clear,1
'A.K',1
larger,7
78.67,1
geocultural,3
classes.,1
'Sharachchandra',2
dragonflies,2
200\xe2\x80\xafCE),1
13.06,1
decreasing,3
residency.,1
Communal,1
agreed,1
quantities,1
\xe2\x80\x98complex\xe2\x80\x99,1
NGOs.Biomass,1
"tool,",1
refer,1
irrigating,1
Using,5
outcomes,3
Wildreservaten,1
metrics,2
ranges,5
insignificant,1
der,11
detect,2
https://www.sciencedirect.com/science/article/pii/S2214241X15001844,1
negative,7
'Highlights\xe2\x80\xa2Temperature-based,1
headwaters,2
Rangan,2
movement,3
encourage,2
geomorphology',1
fuel,1
0.20,1
communities\xe2\x80\x99,1
term.,1
paradox,1
'Interactions,1
inefficient,1
'Highlights\xe2\x80\xa2Agricultural,1
Inappropriate,1
decade:,1
conflict,9
hypothesis\xe2\x80\x9d.,1
"concerns,",2
ornamental,1
do,8
biofuel,2
neutral,1
Strategy,1
sensitive,4
"history,",1
calculating,1
Subsequent,1
Web,1
CRZ.,1
discipline,1
https://www.sciencedirect.com/science/article/pii/S0959378000000583,1
Poit.),1
hydrogeological,1
(3.8%),1
extents,1
dispersal.,1
sub-biomes.,1
"effects,",2
28,1
prepare,1
islands,2
stressors,1
monsoon,7
arrangements,6
rooted,1
(ASTER-15m),1
1968.,1
process;,1
age,10
broader,2
PA,1
'M.',2
change.',3
"dis-services,",1
(for,2
(TC),1
consistent,5
"values,",2
geringen,1
market.,2
space,4
temperature,14
Fifty-nine,1
(26.4%),1
methodology,4
mortality.,2
"industrial,",1
representation,1
summer,4
(villages),2
"spatial,",5
korreliert.,1
petaurista),1
"knowledge,",4
"'ArticlesWomen,",1
46%,1
"Index),",1
struggle,1
reciprocations,1
undeveloped,1
record,1
urgently,2
livelihoods,9
'NEWS,1
relatively,6
Lion-tailed,1
KNP,2
justification,1
east-exposed,1
policies,10
including,22
pressured,1
"land,",1
140,1
582,1
"models,",1
spatial,28
efficacy,4
"clothes,",1
cryobiotechnology,2
women's,1
attitude,1
"Madagascar,",1
'Lucy',1
Territories.,1
herein,1
symbionts.,1
chosen,1
details,2
current,26
calling,1
(2003\xe2\x80\x932005),1
expected,4
ecotones,6
heavy,1
"2010,",1
soils.,1
majority,2
Probability,1
forest-plantation,2
Site,1
penetration,1
rhizobacteria,2
k\xc3\xb6nnten,1
Modelling,1
(score,3
2500,1
biosecurity,1
ecosystem',1
shortages,1
"K,",2
Environment,5
people,21
(Ratufa,1
political\xe2\x80\x93economic,1
Cameroon.,1
seasonality,2
Panama,1
rapidly,4
ethical,2
restoration?,1
quality,8
truly,1
"Na,",1
autumn,1
\xe2\x80\x98cultural,1
critically,3
draws,1
WHSs,1
forefront,1
PhD,1
polyphagous,1
subsequent,1
north,4
Until,1
Vector,2
widths,1
getting,2
3\xc2\xa0MW,1
'Ecology,1
briquettes.,1
scientifically-based,1
NAPIS,1
reduced,6
calyculata,1
"tiger,",1
terrain,2
community-designed,1
orchid,5
fisheries.,1
day,1
Improved,1
"quantify,",1
cover),1
base.Aim,1
"percent,",1
frameworks.,1
revenues,1
86%,1
governance',1
preferentially,1
"seeds,",1
jack,1
constructivist,1
India.\xe2\x80\xa2Impacts,1
used.\xe2\x80\xa2Weak,1
highland,1
planet,3
built,3
evolutionary,4
fuel-wood,1
just,3
"'ReviewEthnopharmacology,",1
struggles,1
Formation,1
seasons,1
makers,1
Lower,2
https://www.sciencedirect.com/science/article/pii/S037811271300772X,1
"ratio,",1
province.,1
ethnopharmacology,3
Population,2
"India.""",2
informal,1
coping,5
foster,2
Self-Governance).,1
phenomenon,1
plane,1
near,3
exploitative,1
"inclusive,",1
dominance,1
changes,57
progressively,2
720,2
wildlife-friendly,1
wounded,1
'Green,1
valuation,10
different.,1
guide,3
tenets.,1
salt,1
prerequisite,2
U\xe2\x80\x93Pb,1
(BA),1
derive,3
67%,1
"project,",1
landscapes.AbstractThe,1
CRZ.',1
spaces.,1
scale.,2
weeds,2
environment.,3
Combretaceae,1
mining.,1
PAs.\xe2\x80\xa265%,1
primarily,8
Coconut,1
challenges,14
plantations,18
weather,4
precautionary,2
"pasteurizers,",1
services.\xe2\x80\xa2Comprehensive,1
francoisi),1
Eastern,14
stated,1
availability,7
threatened,7
0.20%,1
Changes,2
Regeneration,3
chikungunya,1
pp.,3
light,2
qualify,1
Sea.,2
value-added,1
'Highlights\xe2\x80\xa2Sacred,1
"flavourings,",1
photovoltaic,3
'Brian',1
trait-based,3
artenarm.,1
signifikanten,1
daily,9
'ArticlesA,1
together,2
stakeholders.\xe2\x80\xa2Local,1
IRS,3
'AbstractA,2
Commonwealth,1
"past,",2
Provides,1
18%,1
come,5
era,1
https://www.sciencedirect.com/science/article/pii/S0378112797805671,1
conducting,1
sambar,1
moisture,2
hill,1
rebuilt,1
expert,5
maps.,2
https://www.sciencedirect.com/science/article/pii/S0378112707008973,1
del,1
inferred,1
empire,2
(LULC),1
corridors.,1
"clubs,",1
78,1
forecasted,1
fishery,1
cooler,1
enables,1
effects,23
spirituality,2
yet,8
apologize,2
Mountstuart,2
emerging,5
DI,2
family,2
20,5
rhizomes,1
achievement,1
future-ready,1
abiding,1
administered,1
organized,1
modernization,1
Unterschied,1
deriving,1
influence,22
Water,4
increasingly,8
\xe2\x88\xbc40%,1
Major,1
"TM-30m),",1
frequently,3
NF;,1
"GARP,",1
Ramakrishnan,1
quick,1
subtropical,2
backscatter',1
adjacency,1
indica,1
risks,3
Part,1
Sangh,1
"results,",2
"long-term,",1
