Words,Frequency
'Ecologically,2
"chemicals,",4
crops\xe2\x80\x9d,4
negative,2
integrate,6
Water,2
'Navin\xc2\xa0K.\xc2\xa0Ambasht',2
unknown,4
distribution,4
biodiversity.,4
XVII',2
new,4
"long-term,",4
India',6
"systemic,",4
Mangroves:,2
scales.,4
"therefore,",2
https://link.springer.com/chapter/10.1007/978-94-010-2331-3_24,2
animals,2
units\xe2\x80\x99,2
ESR,2
"forestry,",2
Indian,4
Impact,2
1251,2
Biological,2
prevailing,2
mining,4
35,2
Zoos,2
activities,6
https://link.springer.com/referenceworkentry/10.1007/1-4020-3880-1_9,2
Ganga,2
forest,2
economic,2
Management,2
Regions,2
decline,2
Information,2
humans,2
happening,4
prioritizes,2
exhibiting,2
https://link.springer.com/chapter/10.1007/978-3-319-13425-3_29,2
"bean,",4
Goa,2
biotic,2
wildlife,4
information,2
metrics.,2
detailed,2
"neonicotinoids,",4
genes.,2
Sensitive,2
Role,2
levels,4
Protected,2
Uttara,4
great,6
Kumar',2
"biogeochemistry,",2
"projects,",2
soy,4
palm,4
elements.,2
human,6
accelerating,2
'Fernando\xc2\xa0de\xc2\xa0Mello,2
larger,4
distinction,2
identified,2
3219,2
replicate,4
"times,",4
regions,4
"fiber,",4
insert,2
\xe2\x80\x98ecological,2
increasingly,4
framework,4
"administration,",2
Tropics',4
threat,4
options,2
integral,2
assault,4
socio-economic,2
ecosystem,8
specifically,2
achieve,2
Biota',2
'I.\xc2\xa0Jaisankar',2
status,2
conservation.,4
manage,2
Introduction,4
affected,4
Conservation',2
sustainable,4
India.,2
centuries,4
"2002,",2
'B.\xc2\xa0K.\xc2\xa0Sharma',2
Ecology,2
plans,2
strengthen,2
weightage,2
receive,4
efforts,4
'Sangeeta\xc2\xa0M.\xc2\xa0Sonak',2
unit),2
"gymnosperms,",2
protect,2
"decades,",4
attributes,2
resulting,4
cross-sectoral,2
livelihood,4
climate,20
Rajasthan',2
adaptation.,2
(ESRs),2
Area,2
years,4
Systems,2
threats,4
Identification,2
ultimately,2
structural,2
Evolution,2
that.',4
"angiosperms,",2
endemism.,2
exceptional,2
mangroves,2
https://link.springer.com/chapter/10.1007/978-94-007-7202-1_2,2
holistic,2
discussed.',2
variables,2
Vertebrates,2
River,2
"butterflies,",2
comprises,2
'T.\xc2\xa0V.\xc2\xa0Ramachandra',4
imperative,2
appropriate,4
'Chromosome,2
'The,6
helps,4
flexible,2
treasure,2
lichens,2
https://link.springer.com/chapter/10.1007/978-1-349-05002-4_13,2
https://link.springer.com/chapter/10.1007/978-981-10-3573-9_5,2
implications,2
large,2
Societal,4
"(biological,",2
India,2
"State,",2
Changes,4
faunal,2
https://link.springer.com/chapter/10.1007/978-94-011-6084-1_4,2
Vianna',2
(80.48%),2
"developments,",4
technological,2
https://link.springer.com/referenceworkentry/10.1007/978-1-4020-4410-6_94,2
islands,2
island,2
(1\xe2\x80\x934),2
Prioritisation,2
"them,",4
'Salient,2
Diversity,2
https://link.springer.com/chapter/10.1007/978-1-4615-0223-4_6,2
vital,2
chapter.,2
impacting,2
services.,2
especially,2
components\xc2\xa0\xe2\x80\x93,2
Panchayat,2
highest,2
state,2
dimensions,2
'D.\xc2\xa0Dudley\xc2\xa0Williams',2
'V.\xc2\xa0Deepak',2
'M.\xc2\xa0S.\xc2\xa0Mani',2
scales,4
"food,",4
development.,2
direct,2
"now,",4
place,4
"mega-hydrodevelopment,",4
Western,6
nature,4
conservation,6
continuous,2
humankind;,2
sectors,2
presented,2
continuing,2
watch',2
developed,4
research,4
warranted,2
