Words,Frequency
"'Institutions,",1
thwaitesii,2
Rajiv,1
effectiveness.',1
alleviation,2
https://link.springer.com/chapter/10.1007/978-3-319-03533-8_2,1
scale.,2
Back:,1
Kuruba,1
rate,8
grass,2
discourse,1
treasure,3
Shifting,1
imbalanced,1
market.,1
shrub,7
Basin',1
impacts.,4
practices,14
Priority,3
paddies.,1
aliens,2
'H.\xc2\xa0Y.\xc2\xa0Mohan,1
establish,1
societies,1
clear,2
Kanti,1
Cauvery,2
Arrangements,1
Geographic,1
"knowledge,",3
Estimated,1
Considering,1
seeking,1
Aconitum,1
females.,1
"Thus,",2
Harvest:,1
interventions,7
lost.',1
options',1
tons,2
'Indicator,1
work.,1
assemblages.',1
Himalaya),1
alter,1
"them,",2
'P.\xc2\xa0S.\xc2\xa0Ramakrishnan',4
(44%).,1
against,4
Swamps,2
billion,1
"low,",4
person,1
warm,1
humans.,1
island\xe2\x80\x99s,2
(18432.96,1
'Competing,2
'Prateep\xc2\xa0Kumar\xc2\xa0Nayak',2
Pollination',1
https://link.springer.com/chapter/10.1007/978-94-011-4912-9_7,1
19\xe2\x80\xb2,1
irrational,1
chapter.',1
folk,2
pardus,2
growers,1
wellbeing.,1
climate-change,1
'Exploring,1
"increase,",1
zonation,1
'Indian,5
countermeasures.',1
Andaman,3
Chimmony,2
ideal,1
Reddy',5
Bay,3
"~630,000",1
portrayal,1
Residents,2
Changes,4
reduced.,1
Regular,1
Agricultural,4
Asia-Temperate,1
star,1
"Plan,",1
form,10
https://link.springer.com/article/10.1007/s11629-007-0221-2,1
'Green,1
Between,2
spatio-temporally,1
3000,2
paper,18
possess,2
metals,1
remain,3
"banks,",1
https://link.springer.com/chapter/10.1007/978-1-4757-6918-0_13,1
forest,171
respect,8
'Neighborhood,1
underlying,2
100%,1
'S.\xc2\xa0Ignacimuthu',1
returns,1
accelerated,2
04\xe2\x80\xb2,1
'Molecular,1
Sasthamkotta,1
https://link.springer.com/article/10.1007/s11442-011-0837-6,1
"rivers,",1
"past,",2
'Quantification,1
mountain,4
"(particularly,",1
risk?,1
'Commemoration,1
Water,8
Northwestern,2
https://link.springer.com/chapter/10.1007/978-3-319-31014-5_34,1
proven,1
(hardcover).,1
interlacing,1
https://link.springer.com/chapter/10.1007/978-981-10-6605-4_9,1
evidence,3
design,4
greatest,2
deposition.,1
posited,1
heritages,1
'Corridors,1
Bank,1
dispersal,2
Zone,4
sampled,1
commons',1
pertaining,1
urbanization.,1
Centre,2
Human\xe2\x80\x93Elephant,2
anthropology.,1
productivity,3
https://link.springer.com/article/10.1023/A%3A1005343820004,1
becoming,5
spots,1
"Livelihoods,",1
theory,2
legislation,1
"encroachments,",1
Invasive,3
information',1
(Acacia),1
territory,1
single,3
"fauna,",1
three,21
optimum,1
already,3
crabs,1
own,3
Bangalore,1
"Chopra,",1
tropics.,1
Locally,1
2221,1
Cities\xe2\x80\x9d,2
suggests,2
bio-geographic,1
GDP.',1
\xe2\x80\x9cMonsooned,1
conclusions,1
https://link.springer.com/article/10.1007/BF02182729,1
level.',1
'SM.\xc2\xa0Sundarapandian',1
highlands,1
'Charles\xc2\xa0M.\xc2\xa0Peters',1
Chasing,1
interest.,2
wildflowers,1
"(1925),",1
plagued,1
Bundgarden,2
https://link.springer.com/article/10.1007/BF02834317,1
centrality,2
outcomes,5
"languages,",2
(DRR),1
vicinity,1
'Riparian,2
scheduled,1
Communities,4
