Words,Frequency
towards,9
met.,1
application,4
called,2
"palm),",2
reinforce,1
changing,2
"shortage,",1
"(e.g.,",2
pathways,4
sector-wise,1
plantations).,1
(excludes,1
analysed,4
resources.',1
ecosystem;,2
least,5
size,2
"fact,",2
(Ocbils).',2
agreement,2
stabilityChromosoma122,2
experience,1
Bottlenecks,2
remote,6
glaciers.,2
staff,2
(gross,1
PA,3
"""Hot",2
"invasion,",2
overwhelm,2
"storage,",2
concave,1
Human,2
living,5
achieved,1
uncertainty,2
occur,2
(pilgrims),2
biome.,4
phase,1
"Traditionally,",1
potentially,1
"thereafter,",2
https://link.springer.com/article/10.1007/s10661-010-1364-0,1
local,14
ecological,15
Information,2
unsatisfactory.,2
collective,1
science-policy,2
frequency,2
peatswamps,2
XXIV',2
epsilon-,2
'Krithi\xc2\xa0K.\xc2\xa0Karanth',1
renewal,1
Kele,1
century,2
prevalent,2
rapid,6
considerations,2
Sri,2
revolutionized,2
"family,",2
"however,",1
precipitation.,2
"glaciers,",2
fallow,1
Notes',1
comprises,2
paddies.,1
labour,1
"irrigation),",1
Considering,2
multiple,2
"A,",4
training,2
livelihood,8
wildlife,5
transmit,2
vegetation,6
hastened,1
2001-11,2
\xe2\x80\x98traditional\xe2\x80\x99,2
Service,2
families,2
Central,4
conditions,3
recombination,4
socioeconomics',1
regions,6
impending,2
initial,1
migrating,2
difficult,4
section,2
migration,2
1987-01,2
rivers,4
usage,2
region,10
riverine,2
utility.,2
execution,1
costs,1
Changes,4
having,2
"tags,",2
analytical,2
relationship,2
conflicts.,2
proved,1
"\xe2\x80\x98modern\xe2\x80\x99,",2
13,2
lesions,2
fisheries,2
polymerization.,2
endemic,4
develop,2
"growing,",2
mouths.,2
area\xe2\x80\x94replacing,2
breakage,2
483,2
existing,1
drained,2
Economy',2
centred,2
significant,4
high-value,1
without,2
shortly,2
"hotspots,",4
mangroves,2
dikes,1
cultivation,2
gains,2
production,7
actions,1
Sustainable,2
variability,6
extensive.,2
strong,2
results,3
special,4
hope,1
2012-06,2
composition,4
(81%),1
meat,2
Marwar,2
times.,2
and/or,1
usable,1
'There,2
deals,2
Ghats,2
wild,2
surveys,1
Panchayat,2
preparation,2
appropriate,2
forests,4
exclusion,2
"paleoecological,",2
selling,1
mentioning.,1
"buffered,",2
contexts,2
enormous,2
performance,2
"tracts,",2
increased,5
species.,5
https://link.springer.com/article/10.1007/BF00807969,2
conflict,2
prominently,1
viable,1
'Subramanyam\xc2\xa0Ragupathy',2
uniform,4
characterization.,2
claims,2
society,4
sensitive,2
dependant,2
"migrants.""",2
inextricable,2
metrics.,2
wounds,2
https://link.springer.com/article/10.1007/BF02919327,2
assessment,1
mountain,2
https://link.springer.com/article/10.1007/s13237-014-0108-x,2
42%,2
Ecological,2
importance,3
https://link.springer.com/article/10.1007/s10113-016-1068-2,1
raising,2
undergoing,2
income,1
\xe2\x80\x98globalization\xe2\x80\x99,2
issues,4
hydrological,3
experienced,1
rice.,1
decline,1
discipline,2
Nepal,1
fast,2
level,12
achieve,2
migration.,2
ensure,2
protection,4
once.,2
wetlands,20
Although,2
"sites,",2
