Words,Frequency
environmentalism,1
(0.97),1
cumulative,7
lists,1
reduce,21
subgroups,1
market,14
metagenomic,2
(200\xe2\x80\x93240,1
"12,000\xc2\xa0km",1
practiced,2
Fagus-Quercus,1
"(eye,",2
"Tamilnadu,",1
Huge,1
(85.8%),1
'Expansion,2
NEI-WG,1
"weapon,",1
medicine),1
11.74\xc2\xa0mg/kg,1
scenario.',1
"bolaui,",1
Reserve,19
6.25\xc2\xa0%.,1
explant.,2
accessions.,3
Myristica,9
received,6
forests.,67
0.04\xc2\xa0mm\xc2\xa0yr\xe2\x88\x921,1
Authority,2
status,80
minimise,2
posed,3
"(Tmax),",1
2010\xe2\x80\x932013,1
subjectivities,1
economic,55
acoustically,1
Estimator,1
coherence.,1
permit,5
5].\n',1
likely,46
audiences,1
entered,2
spices,1
Physico-chemical,2
T),1
divulges,1
followed,114
curators,1
ectomycorrhizas.,1
yield/biomass,1
highlands.,2
"sulfate,",1
neighbouring,3
145,2
'Shikimic,1
zootherapies.,1
R),1
pairs.,4
Coelomycetes.,1
2.57,1
downstream-upstream,2
"pattern,",10
pandemic,1
generated.,1
insectivore,2
villages;,1
Luxuriantly,1
non-seed,1
evaluated,28
"competence,",1
Chonemorpha,1
NTFPs.',1
erstwhile,1
carbon.,2
"livelihood,",2
(45%).,1
owned/managed,1
"studied,",8
(BA),3
Asia.,11
"proteins,",5
90,6
glauca,4
validation,8
Metal,1
Gulf,1
succeed,1
homogeneity,3
"cultivation,",6
health.',1
cumini,4
propagation.',1
"non-taxonomists,",1
39%,2
farm.,1
agreements,1
28.1%,1
cascades,1
Malabar,1
compromising,1
patches.,6
Bengal;,1
oil.,1
past.,2
"environments,",1
organs,3
Zygoptera.,1
Catla,1
2000.,3
"licualae,",1
Tansa,1
plays,11
"responsible,",1
parcumis,1
62%,2
Price,1
Pseudoasteromassaria,1
soil,198
"nursery,",1
infrastructure,4
>0.70.,1
Transition,1
numerically,1
minuta,1
#6,2
Ocimum,1
neighboring,1
leasehold,1
m.,4
complicated,1
testacea,2
geographic/governance,1
strict,1
p.M,1
Dendronereis,1
climate,159
(PCR)-based,1
"archives,",2
Cretaceous-Tertiary,1
Aethesolithon,1
2613.4\xc2\xa0km2,1
nanophanerophytes,1
5.3,1
"1016,",1
"7.5%,",1
columns,1
"pumila),",1
undervaluation,1
Multiple,3
proliferative,1
"security,",6
prevalently,1
"(47.2%),",2
"training,",1
"indicator,",1
Logistic,2
trnT-L,1
accidentally,1
(Phytochem,1
Considering,4
"rufescens,",1
macroscopic,1
Reinwardtiodendron,2
"micrantha,",1
understood.,3
Lactobacillus,1
EBMs,1
"relief,",1
anterior,1
Hoplobatrachus,3
walnut,4
(Murashige,1
effluent,1
Cinnamomum,1
i.e.,7
LD,2
short-distance,1
impacting,5
(Lo-P),1
"23,",1
methodology.,1
new,109
"Bengaluru,",1
"preserved,",1
vulnerability.,3
27.,1
nine,33
jobs,1
"fires,",5
shapes.,1
restored,1
initial,7
"perspective,",4
search,5
"invertebrates,",2
chloroplast,6
Mahanadi,2
parasporal,1
Immediate,1
Sojan,1
W.J.,1
"maps,",3
andCeropegia,2
'Mountain,1
101.5,1
Bignoniaceae,1
sympatric,3
synopsis,2
(RNDVI),1
stock,14
sterility,2
nocturnal,2
"China),",1
"rocks,",2
orchid,2
plants/trees,2
"siltation,",2
satisfactorily,1
3017).,1
era),1
undulata,2
allelic,4
ISBN,1
comein,1
studying,7
2.09,1
gateways),1
standardization,1
"(Acari),",1
mouths.,1
\xe2\x80\x98Chowghat,2
(C),6
"seedlings,",5
building,7
naturally,5
agamid,1
randomization,1
scenario:,1
India-Asia,1
leucostega,1
pollen/spore,1
Chao2.,1
pursued.,1
Category,1
French,3
"program,",3
'Floral,1
sign,3
(across,1
magazines.,1
Germplasm,2
Wilde,3
Thumamah.,1
Indira,3
captures,2
"matK,",3
vulnerable.,2
fluorescein,1
cytoplasmic,1
density-dependent,1
incomes,1
insufficient,2
fermentation,3
Construction,2
(71%),1
acknowledging,1
curvularin,1
Meliaceae,1
"Inconclusion,",1
reiterates,1
magnitude,4
(Pasiecznik,1
monsoon,44
defeating,1
"average,",3
streams,17
(DIS),1
10.4\xc2\xa0mg\xc2\xa0kg\xe2\x88\x921,1
disturbed.,1
evergreenforests,1
took,2
"cunicularia,",1
self-pollinating,1
"Pierre.,",1
diversity-(Hs),1
"G6PDH,",1
"6-benzylaminopurine,",1
"dominance,",4
N-content.',1
6.4\xc2\xa0Mha,1
end.,1
interventions.,3
beneath,9
sentiments,1
strains,27
cogeners,1
posing,2
"crispoides,",1
earthworms.,2
"herbaria,",2
VS,1
R=S,2
healers,2
Organochlorines,1
ungulates:,1
joined,1
"isolates),",2
(4.53,1
"mangroves,",3
(genes),1
showers,1
others,7
reserve.',1
ever,2
strength.,1
"palmifolia,",1
preglaciation,2
individuals),4
"group,",3
"similar,",1
V.,14
therapeutic,4
varieties.',1
silt,3
80),2
dynamical,1
(18%).,1
return,6
"seeds,",4
Psedo-nitzschia,1
lands.',1
encountered,9
Kappa,1
paniculata),1
Twenty-nine,2
"Aspergillus,",2
Poeciloneuron,2
Owing,1
outburst,3
bio-geographical,1
fact,16
students\xe2\x80\x94a,1
cultivation-dependent,2
tributaries,5
frugivory,1
suspended,3
Mandal-Chopta,1
animals,15
mangroves,7
"squamosa,",1
mechanism,12
consonance,1
"ritualized,",1
reserve,22
1524\xe2\x80\x89m.,1
remained,5
gymnosperms.,1
"options,",1
Majority,5
"boletoids,",1
"package,",1
Afforestation,1
impressions,1
ecological-dominated,1
Lycaenidae,1
ISBN:,1
HK,1
snub-nosed,1
Panus,1
"032,",1
1.03,1
0.21,1
\xe2\x80\x98Microlithic,2
Mekong,1
(33.22\xc2\xa0ng/g),1
"organized,",1
authorities,1
specialist,3
introgress,1
andpatterns,1
"Furthermore,",20
(\xe2\x80\x98sholas\xe2\x80\x99),1
fast,8
twentieth,1
"edaphic,",1
encompassed,1
rendered,1
J.,2
Biosphere,23
Maathai,1
sampling,53
provisions,1
impart,1
Presl,1
mismanagement,1
two-layered,1
floor.,1
isolates,68
unequivocally,1
Erigoninae,1
'Die,1
endemics,5
owing,9
twining,1
japonicas),1
coincided,4
"examinations,",1
carapace,1
cum,2
acting,5
80\xe2\x80\x93100\xc2\xa0cm),1
GC-MS,2
Divakar,1
consistent,18
longibrachium,1
"geotechnical,",1
'Fuelwood,1
fingerprints,1
ethnotaxa,3
"3.374\xc2\xa0\xc2\xb5g/ml,",1
t\xc2\xa0=\xc2\xa09.67),1
coherence,1
Observations,1
mycoflora.,1
"botanical,",1
3500,3
clearly,19
Triscelophorus,1
Myladumpara,1
biotechnology.,1
Science-Policy,1
plantations.,21
multipurpose,2
(per,1
Fabaceae,1
"Organophosphates,",1
children,3
endangerment,1
"as,",1
peptide.,1
desired,1
option.,1
call,2
latest,3
'tribalness',1
Number,1
"mineralogy,",1
prevention,3
"20,000",1
"plicata,",1
quarantine,2
globally.,2
24,19
Oldenlania,1
on.',1
inherited,1
employing,2
"typhoon,",1
Pradesh.,1
"archeologists,",1
"overexploitation,",1
categorized,14
Emericella,1
Arabica,5
"persistence,",3
adequately,3
compromised,1
cleaning,3
"(LS),",3
pallipes.,1
wildfire,3
willing,3
fulfill,2
bole,1
"(gammaproteobacterial,",1
Imaging,5
Growth,5
1999,1
"slope,",8
PGD,1
SFFs,4
him.,1
sufficient,6
Heteropogon,1
"anthropological,",1
risen,1
scrutiny.,1
(ROH).,1
campus,3
truth,1
stands,24
enzyme,6
SMO,2
"Damar,",1
herb),2
"it,",3
elemental,3
national-level,2
panel,3
intensively,7
polygalacturonases.,1
fasciculatum,2
reached,7
"(50\xc2\xa0\xce\xbcg/ml),",1
"Low,",1
width,1
observing,1
9.22,1
Coromandel,3
notably,2
"density,",38
"5.52,",1
zoology.,1
undertake,2
told,1
Botanical,3
Mysore,2
gastrointestinal,4
"(IF),",1
reserves\xe2\x80\x94under,1
"costifera,",1
Satellite,2
discrimination,4
spore,26
"5.76\xc2\xa0ha,",1
QoL,4
mainstreaming,2
since.,1
mix,1
mfold,1
733,1
reappearing,2
pine,6
lesson,1
'Culture,1
lines,1
incompletely,1
protect,8
Vitrification,1
climatically,1
South,66
District,4
activation,2
flow.',1
"(p<\xc2\xa00.0001),",1
Continental,1
group.',1
agencies,5
incubation.,2
Maharashtra.,1
line,12
subcontinent's,2
reclassified.,1
Basal,2
Cullenia,2
alternatives,2
Globulins,1
twisting,1
extracts.,2
41,7
artifact,1
mangroves;,1
"Langtang,",1
:,3
gliding,1
"61,551",2
Ethnographic,1
phenology.,2
Endemic,1
however,7
contacts,1
mist,2
certified,2
Taken,2
stabilityChromosoma122,1
~80\xc2\xa0km,1
rice-based,1
Next,1
"MG,",1
wide-ranging,2
"Parks,",1
requirement,3
"canals,",1
Shannon-Weiner,2
Fomitopsis,1
Psychotria,1
"societies,",1
pastoral,1
million\xc2\xa0tonnes,3
"article,",2
intercomparison,1
(mechanical,1
ancestral,3
purposely,2
technologies,13
implementation,18
boundaries.,2
1.78\xc2\xa0million,1
Henderson,1
experiment,6
(0.421).,1
"maintenance,",1
Biligiri,5
Bridge,2
way.',1
East,16
hydro-environment,1
consisting,7
SF,3
"thailandica,",1
friendly,2
2005\xe2\x80\x9306,1
(AUC),1
upholds,1
lizard,1
mass),1
"amphibius,",1
Mazandaran,2
sequential,1
catalogue,2
matrix.,3
gene.,3
"decreased,",2
non-climatic,1
"fuelwood,",6
diagnosis,3
length/shoot,1
ethnicity,2
571,1
heterophyllus,2
(Western,4
dimensions,6
nest-penetrating,1
Predictive,1
61\xc2\xb0,1
sensing.,1
broth,1
"(Pb),",1
emergence,4
(18,2
"subjectivities,",1
inherently,1
Satara,1
Univariate,1
"malabarica,",1
23.92%,1
Branchiobdella,1
'Lakes,1
8,19
2017.,1
primary,40
mother-child,1
transplanted,1
microbiological,2
succeeding,1
regenerated,4
(Genetic,1
surfaces,3
Dominance-diversity,1
"discussion,",1
"correlation,",2
averaging,1
(Ocbils).',1
algorithm.,2
inspire,1
protected-area,1
biofertilizers,2
Fuljhore,1
ECM,4
dactyloides,2
(3.66),1
change,169
conserving,17
900\xc2\xa0years.,1
(R2\xe2\x80\x89=\xe2\x80\x890.85),1
calamities.,1
talk,1
var.bulbosa,1
"not,",1
heterogeneity,19
inter-basin,3
juvenile,3
equivalent,6
(2030s),1
sale,3
"1,916",1
"programmes,",2
($8.03).,1
"phenology,",1
"(22:2),",1
honorary,1
[].,1
"layers,",1
Heingang,1
gyration\xe2\x80\x99,1
cucumber,1
2-month,1
hunters,1
"yuccae,",1
climate.',1
37.7,1
prices,1
80\xc2\xa0%.,1
(TDF),1
masculosum,1
"elsewhere,",1
Astepping,1
Chionanthus,2
Udugama,1
"(EST,",1
nitens,7
"(%),",1
till,4
phylum,5
wide,30
sperm,1
"yanheensis,",1
44\xc2\xa0%,1
"2004),",1
7\xe2\x80\x938\xc2\xa0%,1
"12,",1
designation,1
coastal,39
2.0,1
official.,1
Chalakkudy,4
phytoseiids,1
"tambiraparniei,",1
biodegradation,1
centered,1
Equilibrium,1
volcanic,9
Leucoloma,1
expansiveness,1
'Shoreline,1
fatty,11
symptomless,1
promise,2
illustrates,3
classifying,1
"1050,",1
verge,1
"(density,",1
calyces.,1
"farinosa,",1
overharvest,1
TWE,3
Aconitum,1
clusters.,3
(KLM),1
