Words,Frequency
Abstract:,5259
Abstract,313
'To,39
understand,239
local,603
atmosphere,87
heat,190
transfer,64
facilitate,37
boundary-layer,2
parameterization,45
numerical,113
simulation,226
"prediction,",5
observational,67
campaign,17
conducted,241
Eastern,228
Himalayas,355
June,94
2010.,33
The,10006
atmospheric,416
properties,116
near-surface,30
turbulent,13
transfers,7
analyzed.,54
region,1300
"warmer,",3
humid,90
less,313
"windy,",2
weaker,48
solar,73
radiation,161
surface,922
radiate,2
heating,127
Middle,148
Himalayas.,140
total,828
mainly,464
contributed,90
latent,41
Bowen,3
ratio,248
"0.36,",2
essentially,24
Tibetan,647
regions.',31
'Bird,2
diversity,663
altitudinal,167
belts,84
analyzed,320
early,353
spring,137
2005,51
2014.,22
Species,55
richness,205
revealed,418
decreasing,148
subtropical,136
mixed,143
coniferous,45
forests,355
alpine,162
belt.,48
Specific,8
beyond,43
limits,64
corresponding,191
belt,218
immanent,2
three,868
four,504
investigated,253
belts.,27
avifaunas,2
adjacent,117
comparatively,28
common,224
species.,278
One,76
hundred,47
thirty-three,3
bird,34
met,10
years,343
belong,58
six,208
faunal,22
"complexes,",8
Himalayan,753
endemics,19
"subendemics,",2
Palearctic,26
abundance,116
background,58
determined,192
each,536
belt.',11
'Landslides,17
damaging,20
disastrous,16
phenomena,44
frequently,41
lead,122
serious,77
problems,102
hilly,49
areas.,140
Namchi,8
South,444
Sikkim,56
district,94
part,734
exception,26
it.,24
In,1936
present,1054
"study,",369
multi-criteria,8
analysis,1185
technique,108
landslide,524
hazard,349
zonation,71
mapping.,12
Various,30
thematic,53
"layers,",15
namely,88
"slope,",55
rainfall,1152
distribution,972
"map,",19
lineament,26
"density,",70
drainage,150
slope,330
"aspect,",32
"geology,",36
land,657
use/land,31
cover,396
soil,762
integrated,184
GIS,93
platform,57
(ArcGIS,3
10.1),3
delineate,34
zone.,108
Analytic,4
hierarchy,11
process,228
determine,167
weight,81
factors.,53
Relative,16
rating,14
assigned,51
subclasses,2
layer,156
based,868
impact,365
"triggers,",2
"layer,",19
class,70
ordinal,2
0,51
9.,2
map,304
produced,203
weighted,50
overly,5
techniques.,29
divided,154
five,324
vulnerable,114
"zones,",54
"low-,",4
"moderate-,",2
high-,7
high-hazard,2
zones.,93
Resulted,2
validated,60
field,426
geospatial,42
technology-based,2
analysis.,98
findings,161
demonstrate,104
high-landslide-hazard,2
zones,394
associated,666
active,460
erosive,9
processes,341
(steep,2
slopes/cut,2
slopes/lineaments).,2
results,1343
indicate,537
villages,82
"Bomtar,",2
"Jorethang,",2
"Kopchey,",2
"Donok,",2
"Namthang,",2
"Sumbuk,",2
"Longchok,",2
"Mamring,",2
"Turung,",2
"Mikkhola,",2
etc.,62
prone,52
landslides.,43
final,72
"prevention,",4
proper,57
planning,99
future,406
infrastructure,31
geoenvironmental,5
development,518
region.',107
'Improving,2
image,74
classification,147
techniques,124
interest,59
handling,8
satellite,241
data,1787
especially,277
regions,792
evergreen,90
particularly,216
indistinct,3
ecotones.,2
attempt,107
made,310
classify,23
forests/vegetation,2
Moulirig,2
National,190
Park,35
Arunachal,54
Pradesh,80
conventional,50
unsupervised,5
algorithms,11
conjunction,27
DEM.,6
represents,112
climax,9
vegetation,428
broadly,39
classified,136
"tropical,",8
"subtropical,",6
temperate,157
sub-alpine,11
forests.,67
Vegetation,27
pattern,491
influenced,138
strongly,145
"altitude,",44
aspect,47
climatic,425
"mature,",5
undisturbed,39
intermixed,3
close,193
canopy.,2
Rugged,2
terrain,115
elevation,380
affect,89
reflectance.,3
Because,69
discrimination,13
forest/vegetation,2
types,387
restrained,2
data.,217
"Therefore,",163
optical,52
limitations,32
recognition,30
similarity,101
spectral,135
response,329
caused,259
several,399
Since,79
controlled,143
"factors,",70
digital,73
model,1396
(DEM),18
LISS,23
III,33
multiband,2
overall,184
accuracy,91
improved,100
40.81,2
83.67%.,2
Maximum-forested,2
(252.80,2
km2),15
national,104
park,11
covered,65
sub-tropical,14
forest,874
followed,299
broad-leaved,40
(147.09,2
km2).,6
This,1468
probably,204
detailed,168
survey,134
remote,228
inhospitable,2
Semang,2
"sub-watershed,",2
around,346
western,594
Mouling,2
Peak,15
above,273
Bomdo-Egum,2
Ramsingh,2
eastern,635
southern,583
side,87
accessed,3
ground,294
truth,10
collection,82
mapping,112
(on,10
"1:50,000",14
scale),3
characterization.,7
occurrence,310
conifer,19
Rhododendron,23
Scrub,2
