Words,Frequency
response.',1
site.,1
(L.),2
'When,1
considered.,2
domestic,1
Poo,1
varies,1
"emerge,",1
until,1
unrelated,1
layer.',1
bureaucracy,1
MLLs.,1
chicks,4
"location,",1
<,2
range.,1
altered,2
prehistory,2
discussion,1
molluscan,1
reach,1
gathered,2
contributions,2
utilize,1
improvement,1
alienation,1
sorted,1
rapid,2
nomenclature,1
state.,1
"Pidaconomus,",1
'Publications,1
exhibit,1
parts,4
"genera,Canarium,",1
mutants.,1
"Leiorhagium,",1
post-European,1
seen,2
resulting,3
cladistic,1
"threats,",2
reflects,3
commercial,4
appeared,1
test,1
require,1
workers,1
undertaken.,1
"weak,",1
warrior,2
comparison.,1
relevance,1
(A.,2
catalogue,1
fairly,1
downstream,1
fragile,2
fluoride-enriched,1
selected,7
"compare,",1
fundamentally,1
underpin,1
wallabies,1
(tropical,1
voluntary,1
breadfruit,10
layer,2
concerned,1
objects,2
explanations,5
flaking,1
comprises,3
work,6
"centers,",1
(Talasea),1
"endpoints,",1
"(a-WA),",1
combination,3
clusters,1
otolith,3
conceptions,1
knowledge.,1
competitively,1
perspectives.,1
70%,1
"centuries,",1
rocks,2
"2015,",1
looks,1
aspects.,1
coast.',1
wetlands.',1
involved,4
"targeted,",1
residues,1
Verde,2
teaching,2
specific,5
politics,1
Austronesian,2
largest,3
Gondwanan,1
leguminous,1
crosscutting,1
preparation,1
variables,2
generalists.,1
"reception,",1
"grassland,",1
mariannensis,4
17-year,1
small-scale,3
Area.,1
"villages,",1
declines,2
urbanization.,1
"Successful,",1
modification,1
phanerogam,1
crisis.,1
alarming,1
unfortunately,1
signatories,1
correlated,2
principles,5
daily,1
20/23;,1
distinctly,1
53,2
maternal,1
proven,1
visitors,3
exchange,6
Mas,1
accepted,1
years,9
interisland,1
"income,",1
island,26
afflicted,1
utilisation,1
locality,2
Ethnobotanical,1
(11%),1
(2.6),1
increased,6
E.,1
intermediate,2
spells,1
characterization,1
comprehend,1
tree),1
groups,16
contamination,1
features,3
addition,2
abundance,5
on:,1
tropics.,1
escapes,1
paper,14
operations,3
land,18
sacs.,1
explosion,2
graphs,1
"scholars,",1
above,3
spring,1
"altilis,",1
2%,1
commercialization,4
"models,",2
"smaller,",1
dating,1
defined,2
centered,1
indica,2
people.',1
dune,5
(4),2
Whether,1
release,1
stomach,1
analysis,28
wild,9
physiognomic,1
living,1
Climate,2
led,2
"hunting,",1
struggles,1
richness).,1
Holocene,1
2,4
coast,5
Garo,2
16%.,1
substantive,1
classes.,1
types,5
gathering,1
"simple,",1
consequent,1
enhance,1
A);,1
environment.,3
summarized,3
ties,2
compounding,1
h,3
Overlaying,1
trying,2
Gulf,1
LCDW,3
"mining,",1
"maintain,",1
environmental,12
collectively,1
alternative,2
DArT,4
threat,4
Fund,1
orthodox,1
common,7
IWP,2
proposed,2
elevate,1
Futuna,1
lease,2
"reefs,",1
(MLLs).,1
learned,2
combinations,3
Correlations,1
Predictions,2
cent,1
Grande,3
resembles,1
vicariance,1
improved,1
significance.,1
raw,2
"abstract,",1
Dolgan,1
"taro,",1
recognized,1
36%,1
"private,",1
multilocus,2
extends,1
needs.,1
Tonga,1
"`langlang',",3
often,7
"exemplified,",1
Line,1
tensions,1
skeletal,1
issues,6
"industry.""",1
beyond,1
notion,2
ecosystems,9
non-native,1
value.,2
highlands,1
prior,1
potentially,5
spiritual,1
ha),1
aim,1
fleeting,1
metrics.,1
"date,",1
sharpens,1
currents,2
transmission,1
egalitarian.,1
"rise,",1
Both,2
opportunities.,1
Hotspots,1
younger,2
Many,2
richer,1
Pacific,37
"land,",1
2010,1
Japanese,1
adequate,1
"forests,",1
arrangements,3
closer,1
megachilids,1
undetectable,1
"pets,",1
gas,1
exploration,1
curate,1
"""Ernst",1
incorporation,1
835,1
underpinned,2
mite,1
"farmers,",1
"morpho-structures,",1
gastropods,1
'Human,1
"""Island",1
stocks,2
"community,",3
explores,2
"Kiribati,",1
aligns,1
respect,3
communicable,1
clade,2
power.',1
"flexibility,",1
assistance,1
C.,11
Mitchell,1
'Ambrym,1
'Over,1
attained,1
aged,1
sixteenth,2
"examined,",1
usefulness,1
production.,2
(MSB),1
"poor,",1
pools.,1
parents.,1
"diversity,",4
nations,1
"Inc.,",1
macroecological,1
difference,2
setting.,1
mydas),1
contain,1
"landscape,",1
"belong,",1
applicable,1
changes.',1
"Oceania,",2
managed,1
"Roviana,",1
Ridge,1
cultural,13
plants,5
TEK.,1
aiming,1
goal,1
average,5
honeyeater,1
Carcharinus,1
Development,1
coevolutionary,1
self-awareness,1
uses,2
community.ConclusionsTEK,1
upper,3
journals,1
"Overall,",3
concerning,2
boundaries.,2
IUCN,1
species-rich,1
year,1
necessary.,1
On,2
"efficient,",1
Sea,1
"membrane,",1
collapse,1
buildings,2
Oceanic,1
record,1
index,2
(representing,1
observations,3
discuss,3
situations,1
mathematics,3
mountains,4
empowers,1
rainfall,2
with),1
transaction,1
From,2
'Given,1
characteristics.,1
Holothuria,1
complex,8
harmonise,1
Jantia,1
mass,2
"resin,",1
local,25
Pleistocene-age,1
"plant,",1
"clearance,",2
fleshy,1
exceeded,1
historically,3
botany.,1
periods.,2
increasingly,1
clones.,1
cultigen,1
"physical,",1
revealed,8
"-e,",1
Endemic,1
78%,1
non-industri-alized,1
landscapes,2
butterfly,3
buried,1
"chiefdoms.""",1
Fijian,2
prestige,2
Product,1
languages,1
too,1
traditional,17
Fernando,2
"named,",1
see,2
extension,1
(PNG).,1
depth,1
macroptera,2
Remote,1
consumption,2
weight,2
enter,1
"Tuvalu,",1
learnt,1
sclerophyllous,1
ascertaining,1
purchase,2
"Guinea,",6
valuable,4
(Hylaeus),1
Ministry,1
plots.',1
"composition,",1
"economists,",1
variable,3
comparison,1
9,1
capacity,5
long-tongued,1
forests.,2
"activities,",1
Their,3
formalization,1
dig,1
"observed,",1
hybridization,2
industrialized.,1
biologically,1
fourteenth,1
"interest,",1
differences,5
"Here,",3
ago,2
array,1
durable,1
rarely,2
Reef,1
"propagation,",1
"fisheries,",2
allowing,1
B.,2
"pastures/grasslands,",1
"Indonesia,",3
transformation,3
smallest,1
subsistence.,1
volume,1
titles),1
(Nycticebus),1
faith,1
down,1
historical,3
strong.,1
maintain,2
utility,1
species.ConclusionsEdge-effects,1
absent).,1
young,1
"instances,",1
choose,3
taboo,1
offer,1
interviews,3
driver.,1
"capital,",1
article,6
cattle,2
supports,1
variations,3
sea,13
variation,13
commons.,1
aid,2
random,1
peripheral,1
generation,1
lines,2
3-dimensions,1
erosion.,1
assembling,1
"Islanders,",1
shift,1
required.',1
AFLPs,1
represent,8
Zealand),1
percent,1
AFTPs.,1
Lepidorrhachis,1
both.',1
49%,1
antecedents,1
age,2
adversely,1
PT,1
clear,4
hunter-gatherer,1
continuities,1
instead,2
duplicates,2
diversities,1
vicissitudes,1
276,2
development.',1
discussed.',1
voices,1
creating,1
intent,1
coral),1
limon,1
differ,2
People,1
largely,2
renewable,1
clustering,1
today,1
prostrate-undivided,1
crops.,1
"practice,",1
consistent,4
masses,1
"dugon,",1
'Extralimital,1
protein,2
ecosystems.',2
IIGOs,1
Slave,1
suggesting,3
West,7
rainwater,4
"example,",1
spread.,1
genotypes,9
debate,5
call,1
lacked,1
contributing,2
praxis,1
characters,3
rich,3
consequently,1
environmentally,1
world,9
Our,5
reviews,1
"patterns,",1
taken,3
"cm,",1
"(a-Jpn),",1
organization,2
Lord,1
transformations,1
three-tiered,1
following,6
For,9
littoral,4
plate,1
conservational,1
dioxide,2
"tax,",1
NPDW,2
investigated.,1
acceptance,1
"Meghalaya,",1
reservoir,2
functional,1
fish,6
"misconceptions,",1
diversification,3
storage,2
Benin,2
grounds,2
"occurs,",1
remarkably,1
species-specific.,1
'A,2
multidisciplinary,1
dynamics,9
"beaches,",1
users,2
By,4
best,5
bleaching,1
calculated,1
cases,3
measures,4
27,2
"divergence,",1
throughout,11
Forests,1
moths,1
distribution,13
subset,2
"fertility,",1
post-Columbian,1
farmers,2
bottlenecks/founder,2
Important,2
distant,1
workers.,1
'Climate,1
consultations,1
countries,8
prominently,1
southward,1
NRY,1
law,3
goes,1
earliest,2
obsidian.,1
0.001),1
restrictive,1
flights,1
line,6
`wael',1
Data,2
active,1
invasive,7
resulted,5
made,5
Southeast,13
autochthonous,1
affect,7
components,1
"ones,",1
make,6
correspondence,1
Excluding,1
zygaenid,1
actual,1
morpho-agronomical,1
identical,1
