Words,Frequency
models.',1
ranged,5
sole,1
allowed,1
ruderatus,1
forced,1
microbial,1
extinctions.,2
daytime,1
attention,5
survival,7
human-disturbed,1
nuclear,4
784,1
old,1
"radiations,",1
Andean,16
end,1
Toncek,1
analysis,34
peatlands,2
issue,2
too,2
Higher,2
61%,1
areas,56
direct,5
advocating,1
characterize,4
resistant,1
herb,2
multi-step,1
"cayanensis,",1
rise,1
tradition.',1
Forest,6
expansion,5
Trichoderma,1
Earth,1
progeny,1
reasons,1
previously,5
tyrannus),1
means,4
All,6
promoted,1
expected,9
analyzed,10
(gaps),1
obtained,10
"article,",1
"malleolus,",1
organic,1
numerically,1
noted,1
includes,2
ever,1
studied,14
crepuscular,2
African,1
strains,11
(4),4
other,35
"dimensions.""",1
considered.,1
slurry,2
Scopus,1
biological,12
time.,3
(2004),1
"cellulose,",1
growth.,1
2003,1
"panamensis,",1
males,4
"1.99%,",1
2011.,3
"hystrix,",1
(cattle,1
institutions,2
chacaye,1
experimental,3
"mammals,",4
paraphysata,1
core,8
aspect,2
involve,2
Clavulina,1
improves,1
deciduous,12
birds,18
shares,1
initially,1
"use,",1
planted-tree,1
"Kew),",1
2012,1
facilitates,1
"(EcoSocioClimateWise),",1
complementary,1
value,9
Puma,1
activities.ConclusionHome,1
significant),1
mistletoe,1
(inside,1
decisions.,1
"cities,",1
certain,4
separately,2
supported,2
sand,1
introduction,1
demonstrates,1
induced,1
alterations.,1
Brazil,1
survive.,2
Broadleaf,1
developing,4
"Brunneomurispora,",1
pasture,3
"season,",6
'Eight,1
reciprocal,2
undescribed,2
Multireads,1
indicated,5
"context,",2
deer,3
comprise,1
intrasexual,1
"Age,",1
RNA,1
"annotated,",1
Nitrate-N,1
account,2
"threatened,",1
true,1
northwestern,2
shifts,4
(2050s),1
scarce,2
assessed,13
cupressoides,1
hyphae,1
strategies.,3
probabilities,1
review,8
provinces,1
planning.',2
UFMG-CLM,1
criteria,2
Phenolic,1
Island.,1
"Range,",3
modelling,1
steadily,2
groups,10
own,1
velocity,5
disjunction,1
law,1
update,1
"NO3-N,",1
terms,10
mitigate,1
Neotropics,2
grazing,6
clear,2
breast,1
occupancy,1
interior,1
Asplenium,1
68,1
evaluation,2
piscivorous,1
islands,3
trajectories,3
orders),1
playing,1
correlation,5
"higher,",1
brachyceras,1
environments.,2
represents,4
"differentiation,",1
seem,3
diverged,2
targeted,3
Tertiary,2
wind-dispersed,1
auseful,1
"landform,",1
"genera,",3
Amphisphaeria,1
dramatic,1
humans,2
"temporal,",1
rainforests,5
discount,1
"spatial,",1
interviews,1
13%,1
"large,",1
"worldwide,",3
vines,4
family,5
Saplings,1
locations,3
