Words,Frequency
'Using,4
IUCN,23
Red,18
List,13
biodiversity,308
"surrogates,",1
supplemented,8
additional,64
analyses,158
based,314
ecoregional,5
"diversity,",86
priority,55
conservation,600
"Mesoamerica,",8
Tropical,41
Andes,201
identified,161
methods,116
systematic,46
planning.,9
ecological,322
niches,13
modeled,18
occurrence,82
records,95
maximum,71
entropy,6
algorithm.,5
Niche,2
models,137
78,7
refined,4
produce,58
geographical,126
distributions.,16
Areas,16
prioritized,5
attention,70
complementarity-based,1
algorithm,11
implemented,15
ResNet,1
software,5
package.,1
Targets,1
representation,32
explored,25
10,64
90%,9
distributions,83
10%,20
increments;,1
53,9
"ecoregions,",7
target,19
each,296
ecoregion.,3
Selected,3
widely,83
dispersed,19
"region,",78
reflecting,18
widespread,69
distribution,502
"Andes,",57
underscores,3
importance,211
biodiversity.,52
In,753
"general,",24
existing,67
protected,142
representative,33
outside,40
them.,19
Among,35
countries,104
Belize,1
performed,71
best,77
Colombia,83
Ecuador,100
worst.,1
A,358
led,59
selection,83
large,304
proportion,61
country,37
except,48
(for,8
"target,",2
selected).,1
Since,27
proportions,7
land,358
cannot,33
realistically,4
set,80
aside,5
parks,12
"reserves,",7
require,28
integrative,12
landscape,200
management,296
combines,6
human,252
securing,1
persistence,33
biota.',4
'Diversity,1
determinants,16
mostly,67
evaluated,96
diversity,751
"areas,",95
leaving,5
behind,14
regions,256
less,175
drylands.,2
Here,59
aim,61
analyze,44
patterns,367
plant,591
tropical,487
drylands,4
southern,184
Central,137
determine,123
"water,",29
"energy,",5
environmental,452
heterogeneity,41
arid,52
semi-arid,25
adapted,39
flora.,9
We,982
examined,99
645,2
native,233
lowlands,40
north-western,2
region,285
Argentina,43
(NWA),2
define,24
hotspots,39
NWA,2
Diversity,12
concentrated,23
middle,38
elevation,157
intermediate,48
water,450
transition,37
regions.,61
"Furthermore,",62
showed,321
energy,56
input,40
fundamental,31
"and,",62
effects,300
variables,134
varied,61
aridity.,2
Water,13
strongest,11
effect,167
flora,52
Andean,261
increase,238
precipitation,147
growing,116
season,79
stimulated,3
diversity.,73
Energy,1
became,21
important,446
entered,3
increments,5
reduce,45
Our,290
analysis,381
provides,103
strong,131
quantitative,61
support,151
climate,577
main,187
ecoregions,22
Andes.,73
Given,20
present,283
change,406
"events,",22
knowing,3
how,243
affect,85
crucial,34
planning,49
strategies,130
achieve,16
future,209
conservation.',17
'Conserving,1
ecosystem,199
services,89
northern,208
"urgent,",2
understanding,179
factors,243
control,88
vegetation,329
changes,387
therefore,62
crucial.,2
Although,97
anthropogenic,84
activities,88
common,170
highlands,28
"centuries,",4
role,207
influence,145
shaping,15
remains,61
unclear.,5
To,117
assess,134
relative,127
disturbance,70
associated,250
cattle,39
farming,38
cultivation,41
"composition,",41
analyzed,122
driven,32
natural,280
impact,165
Colombia.,53
Canonical,5
correspondence,23
(CCA),2
gradient,106
composition,219
related,313
impact.,7
Partial,1
CCA,3
pure,9
floristic,84
twice,11
size,190
Forward,1
procedure,9
indicated,82
determined,87
level,179
accessibility.,2
Vegetation,14
complex,111
elevation-related,1
"factors,",42
plays,21
primary,121
role.,3
Strict,1
protection,52
should,198
granted,1
remote,65
upper,85
sites,217
Restriction,1
fire,80
agriculture,88
steep,20
slopes,54
counteract,7
negative,96
diversity.',11
impacts,166
cover,190
(LULC),6
buffer,23
zones,46
surrounding,43
reserves,16
implications,85
areas.,100
This,627
examines,34
spatial,285
temporal,76
LULC,29
boundary,18
Rio,33
Abiseo,1
National,77
Park,24
Northern,43
Peruvian,69
Landscape,12
four,231
trends,71
expected,88
occur,109
1987,5
2001.,2
Landsat,25
TM,5
ETM,1
imagery,11
classification,61
maps,58
years,96
hybrid,34
supervised/unsupervised,1
approach.,14
measured,63
metrics,14
from-to,1
created,20
post-classification,1
detection.,2
Contrary,14
"expectations,",5
wet,78
montane,132
forest,1059
increased,275
despite,47
being,160
threatened,114
human-induced,6
fires,27
grazing,19
highland,14
grasslands,28
inside,13
park.,4
Within,25
"zone,",6
moist,19
remnants,10
fragmented,47
numerous,40
smaller,53
patches,51
2001;,1
part,124
conversion,32
agricultural,221
land.,18
The,2423
effective,88
way,46
monitor,17
detection,11
environments.',6
'Natural,4
regeneration,38
abandoned,16
farmland,14
opportunity,25
contribute,71
global,291
reforestation,20
"targets,",2
including,238
Bonn,1
Challenge.,1
Of,41
particular,87
"tropics,",16
long,84
history,111
"farming,",2
frequently,39
marginal,19
"soils,",44
rendered,3
ecosystems,129
degraded,44
extinction,49
risk.,8
Ants,2
play,59
roles,28
"functioning,",3
key,168
question,27
time,209
since,95
abandonment,18
(and,16
inherent,7
temperature,199
gradients,69
therein),1
ant,26
recovery,29
secondary,99
systems.,45
Focusing,2
Colombian,79
altitudinal,91
recovering,4
"pastures,",9
find,45
community,209
richness,361
recovered,13
towards,67
forest.,55
"However,",297
relationships,147
strongly,79
dependent,37
open,45
warmer,13
pasturelands,3
supporting,28
ants,14
either,78
elevation.,33
loss,148
severe,31
pasture,30
"forests,",94
suggesting,85
conditions,218
remaining,53
scattered,9
"trees,",45
hedgerows,1
"fragments,",7
favourable,11
"species,",347
likely,136
near,63
thermal,35
debt.,2
Promoting,1
protecting,15
regenerating,6
forests,475
term,16
tropics,36
offer,37
significant,298
potential,308
returning,1
communities,206
levels.',4
'Vegetation,2
restoration,48
old-field,3
succession,24
studied,172
alpine,61
(paramo).,1
123,1
plots,126
fallow,38
times,63
(1,9
12,58
years),3
8,23
sampled.,5
results,544
indicate,146
"paramo,",2
extreme,71
"environments,",18
interpreted,13
autosuccession:,1
mainly,136
abundance,131
little,113
relay,1
(i.e.,27
turnover).,1
Only,31
few,143
herbaceous,18
introduced,84
(e.g.,36
Rumex,1
"acetosella),",1
act,25
strict,3
pioneers,2
dominate,8
early,74
stages.,12
"Then,",9
undergo,5
progressive,9
"decline,",4
forbs,2
Lupinus,3
meridanus),1
grasses,16
Vulpia,1
myuros),1
peak,24
characteristic,26
paramo,4
life,91
"forms,",12
sclerophilous,1
shrubs,35
Baccharis,5
"prunifolia,",1
Hypericum,3
laricifolium),1
giant,21
rosettes,5
Espeletia,5
"schultzii),",1
appear,59
gradually,18
"succession,",3
becoming,22
dominant,69
late,47
stages,38
showing,51
dual,2
"behaviour,",2
ruderal,1
stress,39
tolerant,13
species.,288
1st,2
axis,10
Detrended,6
Correspondence,7
Analysis,35
arranges,1
according,92
time.,27
2nd,3
3rd,2
"axes,",1
diverging,7
pathways,18
"regeneration,",5
correlated,83
topographic,21
physio-chemical,1
soil,631
characteristics.,14
"Hence,",8
structural,43
divergence,57
increases,78
starts,5
reflect,45
site.,19
