Words,Frequency
'BackgroundAvian,1
haemosporidia,7
obligate,4
blood,23
parasites,13
ample,2
range,154
hosts,13
worldwide.,5
To,68
understand,49
how,111
host,57
communities,103
may,351
influence,70
diversity,339
"neotropics,",1
spatial,115
genetic,176
variation,172
avian,45
"Plasmodium,",3
"Haemoproteus,",3
Leucocytozoon,13
examined,62
between,512
areas,285
endemism,28
along,148
elevational,56
gradient,41
tropical,243
Andes.MethodsA,1
total,146
1686,1
accessions,23
cytochrome,17
b,20
gene,87
selected,45
43,7
"publications,",5
further,71
provides,52
additional,42
information,114
14.2%,1
bird,143
species,1650
Neotropics.,9
Haplotype,1
groups,117
identified,79
using,214
similarity-based,1
clustering,8
sequences,39
cut-off,1
level,90
sequence,32
identity.,1
Phylogenetic-based,1
analyses,109
implemented,6
examine,53
structure,98
among,221
elevation,79
Andes.ResultsThe,1
"endemism,",6
including,114
"Andes,",40
explain,52
differential,17
distribution,259
variation.,6
In,409
Andes,137
"region,",37
number,187
haplotypes,8
follows,9
unimodal,2
pattern,99
peaks,6
mid-elevation,5
2000,13
above,32
sea,33
level.,16
"Furthermore,",26
haplotype,7
assemblages,60
tend,15
overlap,29
towards,43
"mid-elevation,",1
where,148
tends,7
maximized.ConclusionsSpatial,1
revealed,60
richness,193
turnover,24
suggest,159
association,37
montane,66
"diversity,",38
according,37
Andes.,44
"addition,",34
closely,43
associated,166
patterns,220
over,146
large,197
geographical,57
scale,42
nearby.',1
'The,192
Turquoise,3
Dacnis,2
(Dacnis,1
hartlaubi),1
Cerulean,3
Warbler,3
(Setophaga,2
cerulea),1
categorized,7
global,129
scale.,13
Habitat,5
loss,51
degradation,20
following,35
rapid,42
agricultural,99
expansion,54
urban,36
development,103
main,107
causes,19
declines.,6
note,3
we,458
present,137
first,159
documented,17
records,63
green,10
South,276
America.,63
Our,146
observations,37
undertaken,5
2007-2014,1
during,269
surveys,18
avifauna,10
Armenia,1
City,2
central,86
Colombia.,23
We,501
recorded,91
19,10
occasions,3
10.,1
Most,50
solitary,4
males,45
foraging,46
Cecropia,1
angustifolia,1
Inga,5
ornata,1
"trees,",22
some,212
mixed,18
flocks.,3
Both,26
used,206
forest,484
"patches,",3
parks,10
scattered,8
trees.,12
cities,6
provide,118
passage,1
and/or,30
wintering,4
threatened,53
species.',26
'Natural,1
regeneration,13
abandoned,10
farmland,10
important,245
opportunity,17
contribute,32
reforestation,14
"targets,",1
Bonn,1
Challenge.,1
Of,26
particular,47
importance,88
"tropics,",8
long,51
history,100
"farming,",3
frequently,23
marginal,9
"soils,",8
rendered,1
many,166
ecosystems,56
highly,68
degraded,16
hotspots,15
extinction,42
risk.,3
Ants,1
play,30
crucial,12
roles,24
ecosystem,88
"functioning,",1
key,79
question,13
time,120
since,43
abandonment,11
(and,11
inherent,4
temperature,115
gradients,37
therein),1
affect,47
ant,10
recovery,7
within,210
secondary,74
systems.,27
Focusing,2
Colombian,27
across,135
altitudinal,49
recovering,3
cattle,13
"pastures,",4
find,23
community,88
composition,111
recovered,13
primary,70
forest.,30
"However,",133
relationships,83
strongly,44
dependent,18
more,405
open,33
warmer,8
pasturelands,1
supporting,15
ants,3
either,56
or,537
elevation.,18
The,1151
change,164
less,96
severe,19
pasture,11
"forests,",26
suggesting,44
conditions,97
remaining,19
hedgerows,1
"fragments,",10
favourable,6
"species,",192
likely,85
near,46
thermal,19
debt.,2
Promoting,1
protecting,5
natural,153
regenerating,4
forests,183
term,8
tropics,25
offer,20
significant,138
potential,168
returning,2
levels.',4
'Using,4
IUCN,10
Red,9
List,6
biodiversity,169
"surrogates,",1
supplemented,5
based,162
ecoregional,4
priority,24
conservation,281
"Mesoamerica,",4
Tropical,17
methods,45
systematic,21
planning.,5
ecological,192
niches,14
modeled,17
occurrence,30
maximum,36
entropy,1
algorithm.,2
Niche,5
models,71
78,4
refined,3
produce,20
distributions.,13
Areas,8
prioritized,2
attention,27
complementarity-based,1
algorithm,5
ResNet,1
software,3
package.,1
Targets,1
representation,21
explored,13
10,30
90%,6
distributions,63
10%,13
increments;,1
53,1
"ecoregions,",2
target,8
each,157
ecoregion.,1
Selected,1
widely,40
dispersed,22
reflecting,11
widespread,38
underscores,2
biodiversity.,29
"general,",13
existing,27
protected,74
representative,18
outside,20
them.,13
Among,19
countries,51
Belize,1
performed,33
best,36
Colombia,39
Ecuador,42
worst.,1
A,192
high,283
led,26
selection,54
very,95
proportion,42
country,18
except,20
(for,7
"target,",2
selected).,1
Since,17
proportions,3
land,105
cannot,21
realistically,2
set,37
aside,1
"reserves,",5
require,22
integrative,6
landscape,103
management,126
combines,1
human,139
securing,1
persistence,18
biota.',3
'Agroforestry,2
systems,98
great,28
conserve,11
highly-altered,1
landscapes.,12
Although,57
certain,40
types,87
"agroforestry,",5
shade-coffee,4
"cacao,",2
well,187
known,112
support,82
diverse,71
assemblage,32
resident,10
migratory,39
"birds,",21
ability,35
silvopastures,1
poorly,37
understood.,11
Important,3
physiognomic,4
differences,127
agroforestry,36
most,353
effective,36
habitat,186
strategies,53
birds,128
likewise,3
differ.,3
surveyed,7
two,333
common,100
"systems,",20
plantations,28
"silvopastures,",1
2011,2
2013,2
identify,67
features,47
heavily,7
mixed-species,8
flocks,10
birds.,21
Contrary,6
"expectations,",2
same,72
perform,9
both,290
Flock,1
activity,73
increased,124
increasing,97
canopy,40
cover,62
tree,156
density,61
silvopastoral,2
abundances,8
several,118
basal,16
area,182
structural,14
"complexity,",5
indicating,31
complex,76
agroforests,1
mid-range,1
suitable,35
migrants,9
attending,1
suggests,88
suitability,10
improved,16
overwintering,3
incorporating,6
emergent,5
shade,22
trees,103
'Mountain,3
deserve,3
special,27
ecologists,10
biologists,6
given,51
services,24
"society,",7
threat,28
under,96
change.,28
subalpine,4
region,131
Polylepis,23
woodlands,7
occur,66
arboreal,9
islands,13
matrix,19
grassland,16
scrub.,1
Due,8
overgrazing,1
"burning,",2
"however,",56
woodland,7
patches,22
believed,7
11%,1
"Bolivia,",17
core,32
Polylepis.,1
reviewed,14
knowledge,90
Bolivian,25
"remnants,",2
assessed,29
status,45
occurring,32
determined,37
trophic,18
"niche,",2
related,136
climatic,116
variables,59
Based,33
31,7
found,247
780,1
woodlands:,1
425,1
"plants,",26
266,2
46,6
"mammals,",13
35,10
butterflies,13
8,8
reptiles.,5
Ten,2
13,19
7,7
other,330
plant,275
14,23
4,20
mammal,31
criteria.,4
precipitation,50
length,37
growth,71
"season,",14
decreased,39
There,57
positive,54
relationship,69
"richness,",42
season.,20
highest,79
remnants,8
occurred,57
intermediate,30
"elevations,",11
temperatures,35
precipitation.,5
Mammal,1
temperature.,11
"Finally,",27
discuss,44
gaps,23
regarding,26
remnants.',2
Abstract,150
available,212
'A,36
multi-proxy,2
sediment,23
Pedro,2
Palo,2
"Lake,",1
mid-altitude,1
endorheic,1
Andean,156
Lake,13
northern,140
"America,",68
carried,30
out,56
effects,155
activities,36
climate,239
variability,50
mountain,51
freshwater,36
ecosystems.,19
Results,29
indicate,85
BP,11
lake,38
maintained,17
"well-mixed,",1
mesotrophic,3
"conditions,",30
planktonic,10
benthic,13
diatom,20
flourished.,2
From,16
4110,1
about,156
"BP,",8
diatoms,5
almost,37
"disappeared,",2
changed,23
include,56
small,130
Discostella,2
spp.,25
Fragilaria,1
higher,166
nutrient,42
concentrations,36
"possibly,",3
turbid,2
waters.,3
At,35
"time,",18
charcoal,3
concentration,19
sedimentary,5
C/N,2
ratio,21
imply,8
fires,9
watershed,17
intensified,4
organic,35
"matter,",2
derived,26
terrestrial,64
"vegetation,",15
accumulated,4
lake.,3
This,302
period,69
coincides,6
increase,94
"population,",7
"social,",7
technological,4
complexity,16
indigenous,52
peoples.,3
propose,32
anthropogenic,39
"activities,",16
burning,9
"deforestation,",9
load,4
causing,11
observed,102
changes,190
communities.,21
After,15
periphytic,2
"returned,",1
intensity,19
frequency,36
